,CE,EOT,Over X,Over Y,Over Z,Rise X,Rise Y,Rise Z,Set X,Set Y,Set Z,SS X,SS Y,SS Z
"PD [0, 0, 0] 1s",5.057300000000326,1.2421835268599052e-15,8.943609668571936e-16,8.943609668571936e-16,1.4814816040601218e-16,0.0,0.0,0.0,50.01,50.01,50.01,-8.92445653069557e-16,-8.92445653069557e-16,-1.4805934256404217e-16
"PD [1, 0, 0] 0.01s",5.058753099525016,0.01913877910348503,0.9999999999999981,0.0005985187473496654,0.10712107606567738,0.0,0.0,0.0,1.769999999999996,50.01,50.01,-1.887379141862766e-15,6.816191577706792e-16,1.4418888967381263e-16
"PD [0, 0, 1] 0.01s",5.057638883157701,0.013181238413150232,8.811628527091671e-16,8.956290119723579e-16,1.0854160279372704,0.0,0.0,0.0,50.01,50.01,2.1199999999999974,-8.637591396077799e-16,-8.635844887709871e-16,6.661338147750939e-16
"PD [1, 1, 1] 1s",5.070483774789443,0.020931740528224396,1.2788188201784931,1.3904363371150628,1.3124816816475462,0.0,0.0,0.0,3.509999999999998,2.6599999999999966,2.5,-1.3322676295501878e-15,0.0,-4.440892098500626e-16
"PD [1, -2, 3] 2s",5.064295084939705,0.023442792777173527,1.157326188597719,2.4084878301469748,3.4027972529294104,0.0,0.0,0.0,3.6599999999999966,3.759999999999998,3.239999999999995,2.220446049250313e-16,0.0,-6.217248937900877e-15
"PD [1, 1, -2] 2s",5.058928106330666,0.01314380460608339,1.134424469718025,1.1536928451485542,2.216916141574475,0.0,0.0,0.0,3.1699999999999946,3.279999999999994,3.029999999999994,-1.3322676295501878e-15,-1.1102230246251565e-15,4.884981308350689e-15
"PD [10, 10, 10] 8s",5.078712724816159,0.03264267837737162,10.403397906216949,10.524835539279168,10.42526835651762,0.0,0.0,0.0,7.599999999999994,8.82,7.599999999999994,2.1316282072803006e-14,8.881784197001252e-15,1.0658141036401503e-14
"PD [4000, 5000, 2, 0.3141592653589793, 0.3, array([0, 0, 0])] 0s",5.112775835783018,0.03345297550148236,0.6050120082587018,0.30501308478893957,80.39591106557523,0.0,0.0,0.0,50.01,50.01,50.01,-4000.6049441525756,-4999.999189129215,78.00000012166892
"PD [4000, 5000, 1, 0.3141592653589793, 0.3, array([0, 0, 0])] 0s",5.071221662877937,0.014279561213295733,0.6049617515793229,0.30496243184974997,40.202128457762846,0.0,0.0,0.0,50.01,50.01,50.01,-4000.604944153983,-4999.999189135893,39.000000036049265
"PD [4000, 5000, 1, 0.3141592653589793, 2, array([0, 0, 0])] 0s",5.0729343771046915,0.04100175933044975,4.033060017053449,2.0331018856262344,40.202132885077454,0.0,0.0,0.0,50.01,50.01,50.01,-4004.0329403593114,-4999.993684498235,39.00000092978383
"PD [4000, 5000, 1, 0.7853981633974483, 0.3, array([0, 0, 0])] 0s",5.072451143102272,0.037588033194321344,0.6289995205835284,0.33056935440900853,40.20212272650758,0.0,0.0,0.0,50.01,50.01,50.01,-4000.2877082280047,-4999.671338909289,38.9999842117142
"PD [4000, 5000, 1, 1.0471975511965976, 0.3, array([0, 0, 0])] 0s",5.075321804240046,0.060360635039996266,0.6483048451127543,0.34855124141386484,40.20207491775401,0.0,0.0,0.0,50.01,50.01,50.01,-4000.448745314389,-4999.685185263368,38.999909630947066
"PD [4000, 5000, 1, 1.0471975511965976, 1, array([0, 0, 0])] 0s",5.115131241809935,0.18675966865373772,2.1591254389212486,1.169970873713434,40.20589096187718,0.0,0.0,0.0,50.01,50.01,50.01,-4001.494332788147,-4998.950359230982,38.99900924767167
"PD [4000, 5000, 0.5, 1.0471975511965976, 1, array([0, 0, 0])] 0s",5.104614134004019,0.18454263773363677,2.159058475155672,1.1635564514537633,20.101308521291553,0.0,0.0,0.0,50.01,50.01,50.01,-4001.4943127499682,-4998.950449575916,19.498999055153593
