LR,Ep_timesteps,Up_timesteps,Batch_Epochs,Eval Episodes,Action_std,Date,Hour,N_Training,T_seconds,Avg_reward,Solved Avg,Avg_length,Total Episodes,Total Timesteps,ETF
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,03:43:13,5,66.47772455215454,-21.229004863877925,0.0,61.675,461,25665,7.36794817354944
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,03:44:19,10,132.55159401893616,-21.101043572360545,0.0,56.375,925,51335,7.3271588360601
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,03:45:25,15,198.70367741584778,-21.104032580880947,0.0,54.3,1377,77072,7.304200107234496
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,03:46:33,20,266.96800208091736,-21.132432148556262,0.0,56.6,1840,102721,7.34162010927995
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,03:47:40,25,333.60675835609436,-20.94285140270974,0.0,54.4,2297,128269,7.32081500603093
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,03:48:46,30,400.0095570087433,-20.906865650788635,0.0,49.375,2753,154050,7.296470670589694
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,03:49:53,35,466.5413544178009,-21.076007066631856,0.0,60.55,3178,179752,7.275823547376527
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,03:51:01,40,534.8515357971191,-21.02132613569836,0.0,55.625,3610,205815,7.279923713472154
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,03:52:09,45,602.2162475585938,-21.09276866255422,0.0,60.225,4038,231646,7.267486236809212
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,03:53:16,50,669.5143091678619,-20.87742736519738,0.0,47.075,4459,257324,7.25307171828217
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,03:54:22,55,735.4001953601837,-21.101778604561975,0.0,63.825,4863,283144,7.224006985570445
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,03:55:29,60,802.738603591919,-21.208207322603307,0.0,59.95,5257,308953,7.209781927598847
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,03:56:41,65,874.7320954799652,-21.20046860468117,0.0,59.675,5644,334708,7.233361579801282
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,03:57:54,70,947.5129015445709,-21.1229948132358,0.0,65.175,6018,360637,7.256745650484448
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,03:59:03,75,1016.2270166873932,-21.361039654759566,0.0,72.625,6383,386508,7.245322266640486
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,04:00:12,80,1085.2657995224,-21.118467362452474,0.0,68.375,6756,412327,7.235105350348684
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,04:01:19,85,1152.370373725891,-21.306047013141168,0.0,68.925,7127,438200,7.2117296364689185
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,04:02:28,90,1221.8115754127502,-21.316219230127015,0.0,72.875,7495,464042,7.202654673729413
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,04:03:36,95,1289.1891050338745,-21.434433210599032,0.0,80.85,7849,489866,7.181009508953457
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,04:04:49,100,1362.0823900699615,-21.321676060948995,0.0,79.275,8199,515924,7.188768184251256
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,04:06:01,105,1434.7322795391083,-21.19602283908861,0.0,79.55,8529,542151,7.192639351581771
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,04:07:11,110,1504.450434923172,-21.185100764552814,0.0,76.475,8861,568145,7.180331636227743
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,04:08:22,115,1575.2306706905365,-21.274712866380554,0.0,94.325,9173,594283,7.172245940574701
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,04:09:32,120,1645.4312579631805,-21.32144938437544,0.0,92.2,9476,620389,7.160673073927561
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,04:10:42,125,1716.016201019287,-21.180089617571614,0.0,74.575,9797,646324,7.1500675145785015
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,04:12:01,130,1794.1506865024567,-21.681199377042784,0.0,98.525,10105,672183,7.1689354467086295
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,04:13:12,135,1865.810495853424,-21.43178856023599,0.0,87.3,10399,698711,7.1599518110305675
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,04:14:29,140,1942.3170483112335,-21.517727730717393,0.0,82.0,10696,724879,7.168074844309262
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,04:15:43,145,2016.180363893509,-21.496933769139662,0.0,76.6,10992,751213,7.1647788856678085
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,04:16:59,150,2092.5386135578156,-21.66755219962797,0.0,96.0,11261,777778,7.168882292641534
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,04:18:14,155,2167.491756916046,-21.56631249229947,0.0,91.975,11560,803667,7.1667066553438
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,04:19:27,160,2240.213118314743,-21.35514377641094,0.0,99.95,11832,829997,7.156236355039809
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,04:20:41,165,2314.4217851161957,-21.569508239999013,0.0,93.7,12105,856331,7.149771010281662
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,04:21:54,170,2387.659652233124,-21.88340527414738,0.0,120.05,12352,882933,7.139570536695274
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,04:23:10,175,2463.7580223083496,-21.650300096350367,0.0,113.75,12617,909484,7.137076841630634
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,04:24:23,180,2536.625307559967,-21.794421806450934,0.0,116.7,12849,936163,7.124472335878712
