LR,Ep_timesteps,Up_timesteps,Batch_Epochs,Eval Episodes,Action_std,Date,Hour,N_Training,T_seconds,Avg_reward,Solved Avg,Avg_length,Total Episodes,Total Timesteps,ETF
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,04:09:23,5,75.4907238483429,-20.617329727828118,0.0,42.725,605,25507,8.366888797150718
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,04:10:38,10,150.95479536056519,-20.804869766131738,0.0,43.8,1194,50932,8.344445803099209
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,04:11:56,15,228.4750874042511,-20.709892948946578,0.0,46.675,1779,76568,8.398575076747823
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,04:13:10,20,302.9051122665405,-20.788150340366418,0.0,46.725,2351,101975,8.329890632828077
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,04:14:25,25,377.76078939437866,-20.72136926400404,0.0,43.625,2937,127492,8.289750718275705
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,04:15:40,30,452.90014839172363,-20.717183125909425,0.0,44.4,3503,152852,8.261234218301595
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,04:16:58,35,530.8521881103516,-20.593964640548155,0.0,45.95,4059,178329,8.27876638175949
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,04:18:16,40,608.6563339233398,-20.692143669974435,0.0,45.3,4577,203788,8.284489018122356
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,04:19:27,45,679.6759250164032,-20.66780767196487,0.0,45.65,5115,229173,8.202261951278757
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,04:20:43,50,755.6363327503204,-20.630205628147184,0.0,50.525,5666,254815,8.186060294310252
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,04:21:56,55,828.8740770816803,-20.731526056357755,0.0,49.3,6222,280394,8.142222641941272
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,04:23:13,60,905.5138757228851,-20.63476588170554,0.0,45.875,6760,305875,8.132856126780863
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,04:24:29,65,981.2089667320251,-20.577340601934473,0.0,41.85,7295,331394,8.113843394120535
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,04:25:44,70,1056.98433303833,-20.7487428351188,0.0,52.85,7820,356870,8.095157801130462
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,04:27:00,75,1132.8648586273193,-20.692962524302892,0.0,49.5,8331,382349,8.07690687863915
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,04:28:15,80,1207.5985662937164,-20.963142425571647,0.0,54.9,8835,407932,8.05065712544653
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,04:29:31,85,1283.4489243030548,-20.66328054352569,0.0,54.375,9321,433439,8.032041482325473
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,04:30:47,90,1359.1305413246155,-20.869698115474623,0.0,54.825,9810,458963,8.012158446024966
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,04:32:01,95,1433.4821054935455,-20.73722920556468,0.0,55.575,10279,484781,7.98474682717644
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,04:33:15,100,1507.5452687740326,-20.834019557247085,0.0,52.125,10715,510409,7.956488977074623
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,04:34:31,105,1583.122017621994,-20.79623018640242,0.0,55.95,11157,536022,7.936550869087063
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,04:35:43,110,1655.8179171085358,-20.865890700675735,0.0,61.5,11585,561636,7.902767359704682
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,04:37:01,115,1733.5138165950775,-20.862516982295354,0.0,67.85,12019,587379,7.892931296379094
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,04:38:18,120,1810.2997915744781,-20.90215197912562,0.0,64.275,12427,613000,7.878156511055098
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,04:39:33,125,1885.828280210495,-20.89304156786795,0.0,59.575,12822,638846,7.857617841826545
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,04:40:51,130,1963.6639935970306,-21.013319312234994,0.0,68.525,13202,664805,7.846264254058529
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,04:42:07,135,2039.7878122329712,-21.50092393734743,0.0,80.85,13567,690497,7.827580814101568
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,04:43:26,140,2118.3545269966125,-21.342407316442113,0.0,86.675,13879,716292,7.817736964575828
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,04:44:51,145,2203.383577108383,-21.253175001643914,0.0,105.05,14170,743144,7.830031681892059
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,04:46:21,150,2293.8323261737823,-21.47741978155597,0.0,136.25,14424,769903,7.858499641418457
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,04:47:54,155,2386.806624174118,-20.82004933894628,0.0,99.75,14644,798080,7.891860617441942
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,04:49:19,160,2471.871990919113,-20.57789347902765,0.0,132.175,14840,825326,7.8962577564848795
