LR,Ep_timesteps,Up_timesteps,Batch_Epochs,Eval Episodes,Action_std,Date,Hour,N_Training,T_seconds,Avg_reward,Solved Avg,Avg_length,Total Episodes,Total Timesteps,ETF
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:20:02,5,62.055893898010254,-20.982434945366514,0.0,47.05,522,25568,6.8778627357218
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:21:05,10,125.62418365478516,-20.968699745840315,0.0,45.375,1030,51144,6.944226286742422
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:22:09,15,189.11063408851624,-21.099700496219754,0.0,57.725,1508,76647,6.951566940479808
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:23:15,20,254.75915431976318,-20.938199589409876,0.0,60.425,1976,102244,7.005877051287227
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:24:20,25,319.9965355396271,-21.273889403532504,0.0,58.35,2447,127765,7.0221462480889425
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:25:26,30,386.5690495967865,-21.219919616022757,0.0,61.725,2905,153602,7.051305859265504
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:26:29,35,449.4384605884552,-20.998265246032595,0.0,50.9,3323,179504,7.009099842338334
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:27:36,40,515.6983830928802,-21.301121300722684,0.0,71.025,3739,205393,7.019228156871266
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:28:39,45,579.2299027442932,-21.076877284884212,0.0,65.125,4127,231071,6.990089286470118
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:29:42,50,641.828042268753,-21.097189336165055,0.0,61.225,4526,257135,6.953137149877018
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:30:44,55,703.7569055557251,-21.22795590481639,0.0,66.225,4881,283082,6.913167640572847
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:31:44,60,763.7149376869202,-21.129057443112732,0.0,67.475,5224,308603,6.859291592924684
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:32:46,65,826.1657974720001,-21.16651115404236,0.0,74.175,5566,334749,6.831755653966186
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:33:47,70,887.5049722194672,-21.05700752299776,0.0,71.175,5934,360570,6.797161112531783
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:34:49,75,949.1280074119568,-21.584755615086944,0.0,83.75,6263,386553,6.766931177090716
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:35:54,80,1014.4635524749756,-21.289005778789075,0.0,76.7,6605,412741,6.7630903467204835
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:36:56,85,1076.2375180721283,-21.3492119042659,0.0,74.9,6924,438344,6.735277311918782
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:38:03,90,1142.957038640976,-21.547521416819546,0.0,98.925,7234,464340,6.737802310424087
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:39:07,95,1207.1406626701355,-21.131019479328035,0.0,75.15,7558,490684,6.723985276445311
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:40:14,100,1273.9794437885284,-21.184388488215724,0.0,86.475,7869,517373,6.723780411018265
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:41:24,105,1344.5395317077637,-21.60936033560233,0.0,102.0,8174,543754,6.740482585531063
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:42:37,110,1416.6884379386902,-21.44449070656618,0.0,107.725,8433,570636,6.761467557567539
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:43:47,115,1486.8639831542969,-21.392503730407274,0.0,98.875,8712,597346,6.769900031196322
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:44:58,120,1558.4980156421661,-21.524777440825947,0.0,112.175,8982,623847,6.7823524851269195
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:46:12,125,1631.9907653331757,-21.54670693733702,0.0,112.975,9228,650457,6.799961531493399
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:47:24,130,1704.017038822174,-21.84951223137085,0.0,127.325,9472,677438,6.808786076322581
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:48:33,135,1772.9681239128113,-21.811623003992615,0.0,123.125,9698,703870,6.803673982853262
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:49:43,140,1843.4546859264374,-21.76675726687511,0.0,129.9,9929,730643,6.803225670778561
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:50:54,145,1914.1646356582642,-21.561102763631354,0.0,116.2,10153,757531,6.802251732721639
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:52:04,150,1983.7840659618378,-21.89937991646106,0.0,130.075,10374,784190,6.796297295844113
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:53:11,155,2051.1594700813293,-21.61195220303819,0.0,123.325,10606,811061,6.782059546969697
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:54:23,160,2122.915954351425,-22.05750985390744,0.0,132.0,10818,838258,6.781537105441093
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:55:35,165,2195.0006008148193,-21.915540789938703,0.0,135.5,11051,864912,6.780852041748236
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:56:42,170,2262.1186871528625,-21.562732628254167,0.0,106.6,11260,891494,6.764178453699436
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:57:59,175,2338.679246902466,-21.997172589797575,0.0,164.35,11466,919021,6.774745443274104
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:59:11,180,2411.332952976227,-22.048127620268605,0.0,151.0,11667,946159,6.772571003024962
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:00:22,185,2482.3126649856567,-21.875653570412393,0.0,161.4,11837,973191,6.764861097933651
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:01:39,190,2558.8392515182495,-22.16450191959425,0.0,173.35,11996,1001077,6.771197451841065
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:02:54,195,2634.6060094833374,-21.947926155031848,0.0,182.625,12150,1028470,6.774165042990293
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:04:18,200,2718.3215475082397,-22.076742893029127,0.0,193.95,12310,1056546,6.795803874664837
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:05:42,205,2802.1822028160095,-22.23510482435846,0.0,235.125,12456,1085039,6.815605768477368
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:07:04,210,2884.514847755432,-21.65700557860842,0.0,196.075,12598,1112895,6.829737540404633
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:08:30,215,2970.2909500598907,-21.780280422231694,0.0,218.875,12739,1141375,6.85008959799928
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:09:58,220,3058.4258313179016,-21.198302607546925,0.0,182.225,12864,1171096,6.873734846897799
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:11:33,225,3153.365266561508,-21.496993794077323,0.0,265.325,12985,1199973,6.910152287203588
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:13:02,230,3242.5405428409576,-21.594550008777347,0.0,214.05,13105,1228510,6.93151784732146
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:14:33,235,3332.656345844269,-21.38621344704186,0.0,255.475,13237,1256763,6.9528823501209835
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:16:08,240,3428.480162382126,-21.301060993166054,0.0,207.925,13359,1287514,6.983941076618654
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:17:31,245,3511.1891248226166,-21.276901914533564,0.0,186.525,13484,1316337,6.986549793810261
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:19:05,250,3605.2814934253693,-21.05816314329855,0.0,296.1,13609,1345295,7.010269592470593
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:20:39,255,3699.547311067581,-21.497452025909155,0.0,289.45,13719,1375277,7.032363915838188
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:22:12,260,3792.1574506759644,-21.04672035735326,0.0,234.325,13816,1404570,7.049523481227394
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:23:51,265,3891.278454065323,-20.76600577712395,0.0,282.1,13917,1433649,7.07690579410494
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:25:27,270,3986.675807237625,-21.10400848416118,0.0,264.3,14028,1462688,7.09562670934838
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:27:00,275,4079.648233652115,-21.255775808514876,0.0,285.225,14144,1492393,7.108477986304447
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:28:39,280,4179.241956472397,-21.398624249475645,0.0,355.575,14244,1521636,7.131246226089342
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:30:15,285,4275.202293395996,-21.121212576153187,0.0,232.125,14344,1553509,7.146171482467977
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:31:57,290,4376.754315376282,-20.02935306649103,0.0,300.175,14438,1583793,7.168821737572151
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:33:36,295,4476.518737316132,-19.99432020832939,0.0,250.05,14532,1613661,7.186878013573798
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:35:13,300,4572.96405339241,-20.486503549324908,0.0,325.125,14629,1642136,7.1981841620913265
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:37:01,305,4680.9505443573,-18.253620112416726,0.0,355.275,14723,1672625,7.226057541464848
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:38:52,310,4792.533127784729,-18.653915116185978,0.0,295.675,14809,1705300,7.257509847518364
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:40:56,315,4915.696627378464,-17.864531722765882,0.0,379.4,14887,1739439,7.30418768718865
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:42:51,320,5030.97155046463,-18.768231057650556,0.0,366.325,14960,1772933,7.336833570102851
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:44:54,325,5153.86775135994,-17.590417295301304,0.0,420.825,15025,1806337,7.37840042613001
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:47:09,330,5289.590839385986,-13.232732718771198,0.0,495.125,15089,1841843,7.435704301332786
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:49:19,335,5419.30825138092,-12.866589136159243,0.0,494.925,15150,1878264,7.481880797775428
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:51:35,340,5554.922520637512,-14.342931654721273,0.0,510.925,15210,1915283,7.533636754996637
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:53:47,345,5687.107109546661,-11.273825130656384,0.0,585.625,15273,1953194,7.578230490930222
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:56:05,350,5824.941504240036,-11.44923562301311,0.0,569.15,15342,1990506,7.627899591970066
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:58:15,355,5955.4685180187225,-11.62291956897317,0.0,538.9,15404,2025049,7.665685224028447
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,02:00:32,360,6091.91034078598,-12.465059375240951,0.0,552.15,15464,2062367,7.708898890688096
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,02:02:43,365,6223.61398434639,-11.109144434424993,0.0,547.6,15520,2096503,7.743994572164443
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,02:04:55,370,6355.599209547043,-12.715769790620076,0.0,462.25,15581,2133821,7.777497562501166
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,02:07:11,375,6491.307820796967,-8.4129910590066,0.0,652.775,15649,2171259,7.813611275090111
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,02:09:29,380,6628.965941429138,-10.002443331247711,0.0,569.475,15710,2210685,7.8500912709612605
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,02:11:50,385,6770.097720861435,-9.261009837055374,0.0,654.275,15774,2250127,7.888678091441913
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,02:14:13,390,6912.850200653076,-5.849735335964216,0.0,753.025,15828,2289682,7.927128802987926
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,02:16:33,395,7052.861257553101,-6.326110722661467,0.0,735.425,15894,2328629,7.960507962107658
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,02:18:49,400,7189.266387224197,-6.669522950730071,0.0,698.525,15961,2365328,7.988073773052958
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,02:21:06,405,7325.74329328537,-10.437166696074238,0.0,551.325,16017,2405086,8.014101896914763
