LR,Ep_timesteps,Up_timesteps,Batch_Epochs,Eval Episodes,Action_std,Date,Hour,N_Training,T_seconds,Avg_reward,Solved Avg,Avg_length,Total Episodes,Total Timesteps,ETF
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:19:43,5,72.92759346961975,-20.81913617190299,0.0,39.75,605,25486,8.08280851357513
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:21:01,10,150.23487401008606,-20.897830741890175,0.0,45.475,1210,51034,8.30465013735824
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:22:19,15,228.59829759597778,-20.81465496365923,0.0,42.625,1792,76501,8.403104191930206
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:23:35,20,304.24340176582336,-20.92588055278979,0.0,48.15,2369,102005,8.366693763865365
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:24:52,25,381.08623218536377,-20.87603965714878,0.0,49.2,2925,127516,8.362725796898205
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:26:08,30,457.9057378768921,-20.973157764030063,0.0,53.575,3483,152997,8.352540251899649
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:27:26,35,535.3032252788544,-20.925564120919212,0.0,53.8,4042,178543,8.348181406808278
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:28:39,40,608.7979602813721,-20.846971686066823,0.0,46.2,4552,204202,8.286416703727511
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:29:57,45,687.0355200767517,-20.957732600669218,0.0,50.675,5068,229794,8.291076863695073
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:31:12,50,761.7168352603912,-20.950271782257957,0.0,42.725,5598,255519,8.251932414836354
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:32:33,55,842.8224737644196,-21.04480809405458,0.0,56.15,6108,281244,8.279240989853637
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:33:55,60,924.478061914444,-20.952079158326374,0.0,49.225,6622,306895,8.303183258286229
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:35:14,65,1003.5055949687958,-21.121560267712184,0.0,48.7,7114,332539,8.298219426992612
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:36:33,70,1082.4332525730133,-20.892612752142725,0.0,51.075,7606,358233,8.290064219302602
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:37:55,75,1164.6314330101013,-20.963990508217623,0.0,50.5,8098,384008,8.303390787221767
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:39:11,80,1240.4233312606812,-21.29071303352779,0.0,56.15,8571,409712,8.269488887323273
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:40:27,85,1316.561176776886,-20.932811792358894,0.0,50.125,9049,435492,8.239263592222159
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:41:43,90,1392.4617092609406,-21.082135459136857,0.0,61.175,9479,461372,8.20864774002705
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:43:01,95,1470.480551481247,-21.00409001738428,0.0,54.45,9926,486943,8.190834705843564
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:44:20,100,1549.606433391571,-21.20600252105452,0.0,63.1,10371,512657,8.178478408124711
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:45:41,105,1630.2711877822876,-21.187358075724962,0.0,73.85,10767,538406,8.172920379386378
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:47:01,110,1710.7217779159546,-21.31275330729407,0.0,79.45,11158,564354,8.164808682377892
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:48:18,115,1787.0688774585724,-20.98662982525228,0.0,68.425,11526,590139,8.136774967557566
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:49:36,120,1865.3459539413452,-21.144230900542908,0.0,70.1,11873,616011,8.117709410124355
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:50:57,125,1946.1771326065063,-21.24052669948955,0.0,78.375,12215,641915,8.109071391291089
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:52:15,130,2024.3728244304657,-21.042014746978147,0.0,76.05,12524,667882,8.088840143395286
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:53:36,135,2105.8646080493927,-21.424211433134538,0.0,102.425,12813,694030,8.081147118120038
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:54:59,140,2189.020722389221,-21.304689165161456,0.0,89.25,13089,721074,8.078528867080097
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:56:25,145,2274.849462032318,-21.48792929782339,0.0,109.325,13335,748327,8.083995704621191
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:57:54,150,2363.7477447986603,-21.859832657824292,0.0,138.275,13575,774793,8.098024688826667
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:59:21,155,2450.8948917388916,-21.648496912683974,0.0,126.35,13792,801312,8.103765498634734
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:01:13,160,2562.6070425510406,-21.531716884026395,0.0,183.85,13955,829030,8.18610586537255
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:02:53,165,2662.4593732357025,-21.61405995337928,0.0,188.175,14126,858155,8.224937633645252
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:04:41,170,2770.5491807460785,-21.195723137402165,0.0,221.55,14293,886478,8.284485343184347
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:06:26,175,2875.7439534664154,-21.534440588933013,0.0,155.525,14446,915174,8.330528149387193
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:08:23,180,2992.2748289108276,-21.090061140027103,0.0,318.825,14595,944882,8.404228703754919
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:10:03,185,3092.2933735847473,-21.31196639882537,0.0,173.475,14716,973933,8.42719592126998
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:11:55,190,3204.1725475788116,-19.839350712499403,0.0,283.575,14847,1001414,8.478877678018563
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:13:56,195,3325.371598482132,-20.79068415015125,0.0,267.025,14961,1031862,8.550278829465224
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:15:52,200,3441.879831314087,-21.13905541828583,0.0,276.475,15088,1063198,8.60469960477617
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:17:44,205,3553.170825242996,-20.959245325864913,0.0,241.15,15194,1093469,8.642197337669087
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:19:43,210,3672.34223651886,-20.668655515631446,0.0,283.975,15302,1122439,8.695096042679733
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:21:36,215,3786.0115439891815,-20.88145724643514,0.0,264.925,15400,1151473,8.73130571703116
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:23:41,220,3910.198745727539,-21.135329243839042,0.0,260.9,15498,1182220,8.788072945740488
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:25:39,225,4028.253830909729,-20.895964081054657,0.0,240.6,15595,1212346,8.827346361706287
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:27:34,230,4143.663527965546,-20.94612971786532,0.0,318.95,15692,1242363,8.85783146136049
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:29:35,235,4264.923213005066,-20.950678018343826,0.0,283.95,15795,1274321,8.897859920113925
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:31:28,240,4377.596319437027,-20.815871989614177,0.0,292.55,15893,1304710,8.91732584134296
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:33:38,245,4507.287836551666,-20.891385248344044,0.0,371.55,15993,1335928,8.968582943408938
