LR,Ep_timesteps,Up_timesteps,Batch_Epochs,Eval Episodes,Action_std,Date,Hour,N_Training,T_seconds,Avg_reward,Solved Avg,Avg_length,Total Episodes,Total Timesteps,ETF
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:19:52,5,81.4933648109436,-20.85139665414693,0.0,50.55,491,25751,9.032183565033806
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:21:10,10,159.42089176177979,-20.794054949846746,0.0,45.85,1006,51402,8.812432732780774
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:22:31,15,240.38698983192444,-20.844131435062184,0.0,52.225,1507,76956,8.836447751499989
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:23:54,20,323.4688596725464,-20.861444563156276,0.0,53.55,2017,102718,8.895393928686778
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:25:18,25,407.3219428062439,-21.121411135721907,0.0,56.725,2524,128279,8.938453994923167
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:26:38,30,487.5333344936371,-20.9938080406225,0.0,60.775,2999,154140,8.892969269575895
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:28:00,35,570.0037586688995,-20.80066279720777,0.0,61.75,3438,179652,8.889344543029392
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:29:22,40,651.9865546226501,-20.91057139521697,0.0,55.3,3882,205518,8.874261521763271
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:30:47,45,736.9906239509583,-20.89879481457213,0.0,58.75,4327,231195,8.893930083329295
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:32:09,50,818.5976605415344,-20.763517357291573,0.0,51.775,4774,256738,8.86814136021667
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:33:33,55,902.2671184539795,-20.958544729184474,0.0,57.8,5202,282356,8.863179540327101
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:34:52,60,981.2295501232147,-20.91424809870725,0.0,57.975,5610,307927,8.812895056605338
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:36:12,65,1061.8079771995544,-20.956605525983758,0.0,57.7,6019,333497,8.780335219003197
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:37:34,70,1143.1320145130157,-20.961571573230447,0.0,54.2,6416,359074,8.754939698274173
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:38:58,75,1227.7210643291473,-21.005056421638947,0.0,65.525,6820,384893,8.75319649036284
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:40:22,80,1311.345733165741,-20.87667867890975,0.0,59.75,7211,410751,8.742304901679358
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:41:46,85,1395.4182999134064,-21.025745823045547,0.0,60.875,7589,436737,8.732764867941539
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:43:11,90,1480.337290763855,-21.054506503283285,0.0,77.875,7989,462711,8.726679746788225
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:44:37,95,1566.2020254135132,-20.853573027787366,0.0,62.9,8358,488783,8.7240200627373
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:46:03,100,1652.1473886966705,-21.008470557953068,0.0,75.475,8731,514488,8.71966678460439
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:47:27,105,1736.8242332935333,-21.172881289466716,0.0,85.425,9083,540253,8.707095050250413
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:48:52,110,1821.548523902893,-20.893059560698966,0.0,77.275,9445,566050,8.693754327200882
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:50:17,115,1907.044851064682,-21.10513896646992,0.0,88.35,9782,591953,8.683042394959408
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:51:43,120,1992.972608089447,-20.79326192369414,0.0,78.95,10116,617720,8.673121549001447
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:53:08,125,2077.664530277252,-21.02699607057017,0.0,84.625,10433,643915,8.656935558782683
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:54:34,130,2163.7390837669373,-21.261587739291745,0.0,87.425,10745,669861,8.645709598436316
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:55:59,135,2248.639904975891,-21.03296940771191,0.0,82.875,11031,696247,8.629040047428246
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:57:26,140,2335.560646057129,-21.128815746423772,0.0,90.475,11319,722889,8.619330963208563
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:59:02,145,2431.1296801567078,-21.23253948938845,0.0,109.025,11576,749566,8.639359314092273
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:00:31,150,2520.358170747757,-21.126385282215953,0.0,121.55,11804,776097,8.634560405104247
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:02:02,155,2611.164472103119,-21.176555967565214,0.0,116.6,12037,803094,8.63368899064893
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:03:43,160,2712.7396721839905,-21.373600731805688,0.0,177.55,12241,830768,8.665696185463005
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:05:14,165,2803.6649482250214,-21.272273794216606,0.0,123.3,12435,857362,8.661153507902968
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:07:18,170,2927.9685983657837,-19.832707633532344,0.0,250.35,12615,886922,8.755200229407917
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:09:40,175,3069.922681093216,-17.75473383417637,0.0,343.0,12759,918390,8.893029994765918
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:12:11,180,3220.29523563385,-12.750411156868243,0.0,485.85,12867,949247,9.04465638100365
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:14:54,185,3383.7717475891113,-15.424237182636409,0.0,370.45,12966,982367,9.221540131687044
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:17:36,190,3545.6762738227844,-15.211927295834807,0.0,395.125,13052,1017969,9.382564431481192
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:20:08,195,3697.5535547733307,-17.86045598101404,0.0,354.775,13141,1051189,9.507242409670114
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:22:40,200,3849.7130267620087,-13.910506910374792,0.0,459.2,13239,1084694,9.624282595647706
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:25:35,205,4024.4314856529236,-12.439812438944351,0.0,479.45,13304,1121091,9.78842076778735
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:28:20,210,4189.772620916367,-13.487789082882665,0.0,435.0,13383,1157890,9.920228831764883
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:31:02,215,4351.86471247673,-13.096592792208565,0.0,431.125,13457,1193268,10.036277163506172
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:33:53,220,4522.286244869232,-12.382665117983473,0.0,477.95,13533,1228015,10.163724143842252
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:36:46,225,4695.750560283661,-14.048567109274748,0.0,418.35,13604,1264485,10.290070678356255
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:39:17,230,4846.776265621185,-13.283808420190294,0.0,449.1,13671,1299222,10.360862376859798
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:42:04,235,5013.842730760574,-7.665297383595275,0.0,660.375,13732,1334830,10.460322033850296
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:44:51,240,5180.401132106781,-8.132392259813091,0.0,644.25,13802,1369776,10.55266897852774
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:47:33,245,5342.768928527832,-10.357874231330346,0.0,573.625,13870,1407746,10.63101981999247
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:50:24,250,5513.959834098816,-9.89309262814897,0.0,586.075,13936,1444254,10.72158858888679
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:53:12,255,5681.88646030426,-9.212062944746481,0.0,617.0,14003,1480468,10.800535813423283
