LR,Ep_timesteps,Up_timesteps,Batch_Epochs,Eval Episodes,Action_std,Date,Hour,N_Training,T_seconds,Avg_reward,Solved Avg,Avg_length,Total Episodes,Total Timesteps,ETF
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:20:03,5,63.122628927230835,-20.73557714486528,0.0,53.425,480,25676,6.996091689268748
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:21:10,10,129.96861600875854,-20.968554538555004,0.0,58.375,930,51612,7.184376497533586
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:22:16,15,195.84924840927124,-20.89501390282078,0.0,56.925,1374,77168,7.199273420108689
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:23:22,20,262.63976860046387,-20.95162850862781,0.0,60.15,1828,102886,7.22259372095267
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:24:30,25,329.88152623176575,-20.948740569462935,0.0,54.775,2281,128670,7.239066856635941
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:25:36,30,396.4155943393707,-20.919638265901423,0.0,57.725,2723,154406,7.230914133456018
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:26:41,35,461.14372730255127,-20.749038493533398,0.0,52.3,3133,180004,7.191646267364896
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:27:47,40,527.4996497631073,-20.944343491743723,0.0,57.275,3533,205725,7.1798563728729885
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:28:54,45,593.9099488258362,-20.863256801317952,0.0,64.075,3924,231371,7.167246638521736
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:30:01,50,661.0593044757843,-20.82784528016593,0.0,69.1,4333,257263,7.161475816302829
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:31:08,55,728.6247892379761,-21.12737199345889,0.0,76.425,4725,282919,7.157450606251004
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:32:16,60,796.5114569664001,-21.09046496064225,0.0,69.225,5094,308700,7.153852915189884
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:33:24,65,864.0750727653503,-21.09478440760192,0.0,68.7,5456,334611,7.145236191973726
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:34:32,70,932.2866654396057,-21.13582660707438,0.0,74.75,5799,360277,7.140132022433811
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:35:39,75,999.5089113712311,-21.102482553635404,0.0,79.8,6135,386035,7.126128372726616
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:36:47,80,1067.1234891414642,-21.194362140385145,0.0,76.4,6475,412080,7.114156609442499
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:37:56,85,1136.3485832214355,-21.04808954891395,0.0,75.65,6803,438014,7.1114625560302365
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:39:06,90,1205.8443856239319,-21.16127962137115,0.0,87.9,7127,463845,7.108527096127286
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:40:15,95,1274.8305220603943,-21.109436072462852,0.0,80.9,7459,489671,7.10102967895611
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:41:21,100,1341.345683813095,-20.99090124902814,0.0,68.175,7766,515430,7.07932445804278
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:42:31,105,1411.3259563446045,-20.91810235572486,0.0,76.975,8069,541690,7.075298130550083
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:43:44,110,1483.8159084320068,-21.23719640624822,0.0,96.1,8344,567846,7.081848668076776
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:44:56,115,1556.5949318408966,-21.422549362681742,0.0,118.85,8622,593783,7.087394810854524
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:46:10,120,1630.0924639701843,-21.213258998396316,0.0,105.7,8893,620215,7.093920914883967
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:47:20,125,1700.1445348262787,-21.209250201431757,0.0,93.175,9139,646417,7.083935573034816
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:48:33,130,1773.39981007576,-21.345060637948322,0.0,103.975,9381,672690,7.086020615926155
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:49:45,135,1844.741822719574,-21.572597768608553,0.0,99.125,9622,699275,7.07910218076696
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:51:02,140,1921.8863842487335,-21.37347831662222,0.0,136.5,9821,725708,7.092675945938579
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:52:16,145,1996.2759790420532,-21.547733271302175,0.0,129.025,10027,752142,7.094045873658867
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:53:35,150,2075.1250455379486,-21.430874345251155,0.0,152.95,10230,779106,7.109224700066778
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:54:52,155,2152.0060913562775,-21.606869610539597,0.0,153.525,10404,805677,7.115504019294589
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:56:12,160,2232.0445380210876,-21.746430860004093,0.0,159.45,10572,832885,7.130142284300592
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:57:33,165,2313.401296377182,-21.69740831565197,0.0,148.6,10745,860901,7.14661848908121
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:59:01,170,2400.8136513233185,-21.839743863607563,0.0,173.15,10928,888840,7.178903573058009
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:00:27,175,2487.394296169281,-21.81008045465098,0.0,183.3,11072,916767,7.205546976753643
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:02:01,180,2581.2164947986603,-21.931515184643995,0.0,228.3,11218,945861,7.249713003363138
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:03:31,185,2670.666423559189,-21.957519223602844,0.0,218.85,11340,973644,7.278167512713967
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,01:05:05,190,2765.057623386383,-21.944819691059706,0.0,206.275,11459,1003013,7.316892256558987
