LR,Ep_timesteps,Up_timesteps,Batch_Epochs,Eval Episodes,Action_std,Date,Hour,N_Training,T_seconds,Avg_reward,Solved Avg,Avg_length,Total Episodes,Total Timesteps,ETF
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:11:09,5,71.96807408332825,-21.12427582503985,0.0,54.55,502,25697,7.976461702386538
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:12:19,10,141.49633264541626,-20.939393315238227,0.0,53.45,1007,51256,7.8216029241349965
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:13:30,15,212.86067914962769,-20.942003113613854,0.0,54.7,1493,76930,7.8246009606785245
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:14:38,20,281.07900047302246,-21.139790669795115,0.0,59.95,1987,102683,7.729672623342938
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:15:51,25,353.62914061546326,-20.89979747305254,0.0,51.8,2419,128667,7.7601951234870485
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:17:05,30,427.45595359802246,-21.058687899070872,0.0,55.95,2869,154096,7.79711327471115
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:18:16,35,498.35463094711304,-21.039784138192744,0.0,64.775,3327,179961,7.771959184048668
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:19:25,40,568.0623989105225,-21.103617654053245,0.0,64.05,3776,205810,7.731960461272133
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:20:36,45,638.6470727920532,-21.134527374726616,0.0,60.875,4192,231575,7.707129895297098
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:21:46,50,709.0002217292786,-21.14372349494268,0.0,58.375,4625,257216,7.680835775732994
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:23:02,55,784.1495077610016,-21.33974700327378,0.0,69.925,5027,283052,7.702882816117219
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:24:17,60,859.7581787109375,-21.169433533507554,0.0,64.025,5415,309042,7.721902187886061
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:25:32,65,934.749584197998,-21.310140830356083,0.0,61.75,5828,334853,7.729660048077249
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:26:42,70,1004.3213593959808,-21.19149646052403,0.0,75.3,6224,360751,7.691826301794203
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:27:54,75,1076.6525812149048,-21.292922152589547,0.0,69.175,6606,386626,7.676134171817038
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:29:04,80,1146.2751910686493,-21.446397435171697,0.0,80.1,6973,412260,7.641834619508849
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:30:21,85,1223.8439536094666,-21.224884252063692,0.0,79.6,7328,438296,7.659023461100323
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:31:34,90,1296.9453225135803,-21.09267976235249,0.0,73.475,7636,464481,7.645572758876247
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:32:48,95,1370.262465953827,-21.473379390225848,0.0,84.425,7934,490998,7.632602347560793
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:34:08,100,1450.539802312851,-21.537468248448484,0.0,144.575,8202,517331,7.655626946555244
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:35:23,105,1525.5673570632935,-21.493016449370856,0.0,120.1,8441,543544,7.648016254419373
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:36:41,110,1603.16055393219,-21.61950608524159,0.0,132.7,8676,569999,7.65144810902952
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:38:04,115,1686.7419991493225,-21.792745757957995,0.0,157.45,8867,596722,7.679972642360678
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:39:29,120,1771.3947315216064,-21.72519602955189,0.0,170.1,9025,624250,7.708847454388937
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:41:02,125,1864.390676498413,-22.20240766748386,0.0,191.375,9190,653006,7.76829449666871
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:42:36,130,1958.6241867542267,-21.976198903393257,0.0,195.95,9343,681903,7.8261265867235315
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:44:13,135,2055.26255607605,-21.93860511658475,0.0,220.125,9477,710732,7.88696434770592
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:45:54,140,2156.5877046585083,-22.051668369721575,0.0,271.675,9616,739263,7.958835583423811
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:47:45,145,2267.747334718704,-22.176729607772675,0.0,310.375,9733,768496,8.058757301420544
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:49:43,150,2385.555062532425,-21.13835102161614,0.0,359.975,9848,798251,8.172734951730128
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:51:55,155,2517.893888950348,-19.087053459954724,0.0,351.7,9942,832115,8.32529432067948
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:53:50,160,2632.9473168849945,-19.328558442070438,0.0,371.775,10032,862209,8.410803937481509
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:55:47,165,2749.1237161159515,-20.053266123720555,0.0,313.95,10128,892724,8.492663338069965
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:57:48,170,2870.6425182819366,-21.05974110809928,0.0,427.35,10210,921859,8.583784028533238
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:59:46,175,2988.141583919525,-20.874020724094102,0.0,322.925,10303,953781,8.656124438350163
