LR,Ep_timesteps,Up_timesteps,Batch_Epochs,Eval Episodes,Action_std,Date,Hour,N_Training,T_seconds,Avg_reward,Solved Avg,Avg_length,Total Episodes,Total Timesteps,ETF
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:29:11,5,69.79942417144775,-20.90822697937312,0.0,50.575,517,25614,7.736104245516989
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:30:19,10,137.21430349349976,-20.925003336500296,0.0,46.35,1032,51186,7.584901933868726
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:31:27,15,205.44054245948792,-20.92242538343998,0.0,48.25,1538,76766,7.551842258307669
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:32:39,20,277.2692997455597,-21.00564500016579,0.0,51.425,2030,102386,7.624905827442805
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:33:50,25,348.9399576187134,-21.077247761261944,0.0,56.1,2536,127920,7.657293555537859
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:35:00,30,418.65821266174316,-20.86386092695672,0.0,53.075,3022,153524,7.636635950538847
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:36:12,35,490.55469155311584,-20.66099940427892,0.0,50.725,3478,179243,7.6503172573305305
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:37:24,40,562.7626104354858,-20.98053830120076,0.0,55.175,3935,205099,7.65982472744253
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:38:38,45,637.1519975662231,-20.925010836035586,0.0,63.825,4394,230978,7.689087408957659
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:39:48,50,706.8043496608734,-20.770052902203172,0.0,46.5,4821,256649,7.657047154042456
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:41:02,55,780.3054161071777,-21.052967758683963,0.0,68.775,5250,282557,7.665121410597455
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:42:11,60,849.9702067375183,-20.98863232080343,0.0,56.625,5684,308334,7.633991684074756
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:43:21,65,920.1254804134369,-21.083872411441053,0.0,59.775,6086,333947,7.60873000640645
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:44:32,70,990.7989153862,-21.02434354349038,0.0,63.075,6463,359570,7.588261552301665
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:45:44,75,1062.3393988609314,-21.137627293514363,0.0,64.975,6852,385549,7.5740864746438135
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:46:56,80,1134.1618456840515,-21.02527758512419,0.0,64.15,7238,411652,7.56107895804776
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:48:07,85,1205.401684999466,-21.03880766424712,0.0,57.475,7618,437432,7.543608599912886
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:49:19,90,1278.1100957393646,-21.061566500777467,0.0,72.675,7998,463465,7.53453792480039
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:50:33,95,1351.9721579551697,-21.171244660890512,0.0,76.525,8384,489566,7.5307221590392075
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:51:50,100,1428.2159168720245,-21.325877712268035,0.0,82.6,8733,515482,7.537806242373255
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:53:06,105,1504.439600944519,-20.969491209641443,0.0,74.775,9075,541410,7.542098014985442
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:54:24,110,1582.3333370685577,-21.272848091348216,0.0,82.95,9411,567524,7.552045484227364
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:55:42,115,1660.1596403121948,-21.27578049237914,0.0,90.35,9712,593212,7.558939435418678
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:57:00,120,1738.2765040397644,-21.149429645064192,0.0,86.075,10023,619166,7.5647218309729185
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:58:18,125,1816.5104608535767,-21.524232653917956,0.0,98.9,10330,645108,7.568793621924188
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:59:34,130,1892.4171254634857,-21.44775625933069,0.0,91.4,10621,671347,7.561581343916746
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:00:53,135,1971.9020173549652,-21.319980068477072,0.0,94.85,10895,697733,7.567072593160127
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:02:12,140,2050.296084165573,-21.381846764402763,0.0,93.3,11166,724426,7.566568906013927
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:03:35,145,2133.911052942276,-21.380214327894127,0.0,111.8,11415,751139,7.583151362709616
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:05:03,150,2221.8701100349426,-21.379987984553818,0.0,133.1,11622,777995,7.611962450036297
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:06:28,155,2307.117544412613,-21.19372353229371,0.0,118.75,11838,804543,7.628372558188695
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:08:01,160,2400.009554862976,-21.29309399361957,0.0,164.9,12036,831623,7.666697196861108
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:09:29,165,2487.4765861034393,-21.17624103285022,0.0,126.35,12208,858648,7.684376327016137
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:11:18,170,2597.1354122161865,-20.64325863186045,0.0,256.15,12365,886974,7.765944153132781
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:13:10,175,2708.6475970745087,-21.629447552367274,0.0,271.675,12511,914823,7.8464791636050695
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:14:52,180,2810.9024181365967,-21.551306296276532,0.0,229.0,12639,943296,7.894818536955633
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:16:51,185,2929.3609824180603,-20.27743030043655,0.0,265.175,12759,973479,7.983168505757778
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:18:45,190,3043.3428962230682,-19.5304123551926,0.0,244.0,12880,1003330,8.053290435699692
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:20:36,195,3155.0627884864807,-21.069121011321954,0.0,228.25,12986,1032318,8.112376578552093
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:22:53,200,3291.210564136505,-19.681799555804723,0.0,337.325,13080,1063356,8.228026415705681
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:25:14,205,3433.099833726883,-19.58164431984517,0.0,372.85,13163,1095152,8.350154748229478
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:27:37,210,3575.1699075698853,-18.68685588961086,0.0,359.125,13248,1127471,8.465018713133675
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:29:54,215,3712.705264568329,-18.376834230112873,0.0,337.9,13331,1159124,8.56224665036343
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:32:12,220,3850.5770955085754,-18.70403726778738,0.0,335.675,13421,1192505,8.654074800237261
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:34:31,225,3989.464047908783,-18.469972234627058,0.0,367.975,13496,1224035,8.742344058273751
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:37:00,230,4139.065385580063,-17.661586132507484,0.0,441.975,13575,1255611,8.848002101516954
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:39:43,235,4302.001170873642,-16.919979166106916,0.0,517.05,13646,1291559,8.975215231188646
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:42:11,240,4449.364397287369,-19.508917680362877,0.0,415.85,13719,1324758,9.063520073095958
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:44:46,245,4604.879602909088,-16.302750166619383,0.0,452.05,13789,1360688,9.16277064327345
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:47:17,250,4755.756007909775,-16.662683340824028,0.0,420.65,13866,1394835,9.247303368449211
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:49:51,255,4909.9500644207,-13.80080724571512,0.0,523.225,13936,1427224,9.333183950307841
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:52:35,260,5073.298837423325,-12.063124696537072,0.0,621.75,14017,1461041,9.431132458265012
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:55:05,265,5223.561969995499,-16.602515025491932,0.0,374.575,14088,1495771,9.499874235384121
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:57:52,270,5390.213479042053,-14.140877328047647,0.0,527.725,14159,1529109,9.593692718628995
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,18:00:31,275,5549.497586488724,-15.308760936273694,0.0,434.6,14230,1565323,9.669579140670372
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,18:03:13,280,5712.124146699905,-12.209558098006934,0.0,572.0,14298,1601356,9.746878522076303
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,18:05:51,285,5869.698714971542,-10.579851936939225,0.0,605.025,14375,1637117,9.811435971349535
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,18:08:35,290,6033.893155574799,-10.895058107723138,0.0,599.2,14429,1673241,9.883100873161093
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,18:11:14,295,6193.090658426285,-11.245417527551528,0.0,606.8,14500,1706089,9.942767972451145
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,18:14:00,300,6359.135027170181,-10.183439611654627,0.0,671.225,14560,1742242,10.009749581902117
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,18:16:48,305,6526.811265468597,-7.7963426659638175,0.0,691.575,14626,1776461,10.075541984033933
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,18:19:33,310,6691.43038392067,-11.125183176830697,0.0,548.75,14685,1815949,10.133080086481613
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,18:22:17,315,6855.810477256775,-8.645284966563114,0.0,648.95,14735,1852532,10.18698471382602
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,18:24:56,320,7015.040273666382,-11.918508817292443,0.0,531.425,14792,1892677,10.230267068859604
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,18:27:38,325,7176.947830438614,-8.014539169309227,0.0,646.35,14855,1928403,10.274690273164683
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,18:30:27,330,7345.622910499573,-8.209583687904233,0.0,658.65,14909,1967298,10.325917730209
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,18:33:12,335,7510.382977724075,-5.953372919040531,0.0,737.45,14961,2004897,10.368812323147386
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,18:35:54,340,7672.84811091423,-8.447226931557397,0.0,627.7,15014,2040777,10.40598682767815
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,18:38:39,345,7837.919774532318,-7.359305876160588,0.0,682.775,15067,2080535,10.444248999607737
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,18:41:30,350,8008.766948461533,-8.724889929178635,0.0,659.775,15122,2118926,10.4876710175711
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,18:44:14,355,8172.56649184227,-7.420153781636072,0.0,688.3,15174,2159518,10.51946157141004
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,18:47:01,360,8340.0326898098,-9.607586272350167,0.0,602.2,15232,2196916,10.553745072425148
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,18:49:48,365,8506.563948631287,-6.831173850765599,0.0,713.675,15287,2233391,10.584651490898073
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,18:52:37,370,8675.986446857452,-7.1499785462333065,0.0,675.625,15342,2272694,10.617010443661663
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,18:55:24,375,8842.261277198792,-7.256674846220079,0.0,665.325,15392,2310798,10.643462651129123
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,18:58:10,380,9008.778242111206,-6.203988751058797,0.0,721.075,15453,2347315,10.668290047537512
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,19:00:56,385,9174.494596481323,-6.117252279656174,0.0,710.75,15503,2386479,10.690338223579985
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,19:03:44,390,9342.756357908249,-6.783027553904555,0.0,706.4,15565,2424648,10.71355964243412
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,19:06:32,395,9510.980742692947,-7.395597433995819,0.0,683.65,15621,2462238,10.734967718612292
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,19:09:17,400,9675.374360084534,-5.027954264682792,0.0,760.9,15672,2499372,10.750415958629715
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,19:11:59,405,9837.377559185028,-8.204595686228195,0.0,638.15,15725,2535954,10.76174019839538
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,19:14:48,410,10006.854520559311,-6.117079217797413,0.0,703.5,15781,2573829,10.779741659495565
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,19:17:39,415,10177.90782570839,-7.042925169451374,0.0,659.725,15842,2612424,10.797847327306728
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,19:20:24,420,10342.423431634903,-6.668926390920516,0.0,690.1,15894,2648868,10.807558879549543
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,19:23:10,425,10509.144063472748,-9.664241523176452,0.0,591.25,15959,2685045,10.818236539570334
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,19:26:01,430,10679.59967803955,-7.102311318982245,0.0,665.95,16019,2723463,10.831376940004278
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,19:28:47,435,10846.151364326477,-8.479672189395805,0.0,632.925,16090,2759962,10.839225343292243
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,19:31:37,440,11016.063012599945,-8.568822826284208,0.0,632.2,16146,2798073,10.849152969043663
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,19:34:27,445,11185.708391189575,-6.444885342761095,0.0,721.4,16202,2837414,10.857538466772786
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,19:37:17,450,11355.490642547607,-6.099565906953584,0.0,716.325,16257,2876434,10.864821295281986
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,19:40:04,455,11523.051871299744,-6.524229573326077,0.0,691.325,16313,2913001,10.868812663692696
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,19:42:51,460,11689.779061794281,-6.3818386494809305,0.0,706.875,16365,2952713,10.870929804997166
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,19:45:35,465,11853.759387016296,-6.722412426283659,0.0,705.5,16417,2989097,10.86948666218005
