LR,Ep_timesteps,Up_timesteps,Batch_Epochs,Eval Episodes,Action_std,Date,Hour,N_Training,T_seconds,Avg_reward,Solved Avg,Avg_length,Total Episodes,Total Timesteps,ETF
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:05:26,5,88.45595502853394,-21.244569762003117,0.0,62.875,460,25592,9.80386855993006
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:06:51,10,173.05955910682678,-21.24722639774283,0.0,52.975,919,51077,9.566348271899754
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:08:19,15,261.2592616081238,-21.112595122109788,0.0,56.7,1370,76838,9.603697079331786
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:09:47,20,349.1614501476288,-21.201770592529407,0.0,56.725,1805,102560,9.60193995045291
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:11:16,25,438.5710778236389,-21.412124878640924,0.0,68.875,2235,128312,9.62419870906406
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:12:45,30,527.7227001190186,-21.415079077994882,0.0,66.975,2634,153912,9.62605299870173
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:14:12,35,614.5829591751099,-21.165743705759212,0.0,59.0,3036,179649,9.584567606827568
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:15:42,40,704.7438023090363,-21.315433214597387,0.0,62.225,3423,205484,9.592346236308416
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:17:11,45,793.9394721984863,-21.14912028351329,0.0,67.825,3808,231079,9.581183162147617
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:18:41,50,883.2965919971466,-21.22128817580141,0.0,69.05,4184,257110,9.56904643866751
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:20:08,55,969.9815065860748,-21.440784054727672,0.0,74.9,4545,283012,9.528353709048694
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:21:36,60,1058.1879580020905,-21.361035006968564,0.0,79.775,4893,308955,9.504095618724824
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:23:06,65,1148.9156079292297,-21.407261366956295,0.0,81.675,5220,335141,9.500648386233891
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:24:37,70,1239.413949728012,-21.7562009252718,0.0,86.25,5538,361223,9.492337017513456
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:26:09,75,1331.8451418876648,-21.59946274987363,0.0,89.95,5850,387482,9.495562600449277
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:27:41,80,1423.0047030448914,-21.88099582589351,0.0,94.325,6122,413526,9.486698035664029
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:29:17,85,1519.8823325634003,-21.569932781749415,0.0,105.125,6394,439627,9.511681930804565
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:30:56,90,1618.4225571155548,-21.7765823148871,0.0,112.625,6628,465991,9.540700887603526
