LR,Ep_timesteps,Up_timesteps,Batch_Epochs,Eval Episodes,Action_std,Date,Hour,N_Training,T_seconds,Avg_reward,Solved Avg,Avg_length,Total Episodes,Total Timesteps,ETF
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:11:09,5,71.16452145576477,-21.04884565334883,0.0,60.05,467,25652,7.887401418089866
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:12:26,10,147.9548056125641,-21.14234008272245,0.0,51.55,919,51186,8.178612970842256
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:13:36,15,217.83780598640442,-20.849538041046454,0.0,52.225,1402,77233,8.007556666709759
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:14:49,20,291.40973591804504,-21.014601617592295,0.0,64.625,1822,102980,8.013767822384834
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:16:10,25,371.83361983299255,-21.40775739923649,0.0,66.825,2220,128978,8.159682259692087
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:17:25,30,447.03944993019104,-21.100673838749053,0.0,62.875,2600,154549,8.15433075423594
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:18:41,35,523.3019528388977,-21.286263009296693,0.0,70.875,2969,180504,8.161018586745339
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:19:55,40,597.3934195041656,-21.484183564885655,0.0,79.775,3337,206747,8.131188248263465
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:21:07,45,669.3532094955444,-21.42462639197571,0.0,80.725,3706,232700,8.07768850888735
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:22:20,50,742.6663153171539,-21.49765356538074,0.0,73.475,4047,258449,8.045551782184177
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:23:37,55,819.4336175918579,-21.719682792958213,0.0,82.65,4386,284574,8.049486817344272
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:24:55,60,896.9309794902802,-21.873784872810138,0.0,106.325,4690,310683,8.055769009568074
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:26:08,65,969.993644952774,-21.387104025940957,0.0,80.45,4983,336940,8.021101313788666
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:27:30,70,1051.7799971103668,-21.59078730452241,0.0,104.275,5254,363274,8.055299207293798
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:28:51,75,1133.200082063675,-21.762316161722815,0.0,104.775,5517,389474,8.079296958843868
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:30:16,80,1218.488659620285,-21.95843814489528,0.0,110.725,5755,416134,8.123257787426313
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:31:41,85,1303.0601007938385,-21.896090858282903,0.0,121.425,5985,443226,8.1547716121658
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:33:05,90,1387.2122991085052,-22.304171850714372,0.0,141.75,6221,470153,8.177702148431614
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:34:27,95,1469.250086069107,-21.65709716616765,0.0,115.2,6441,496945,8.183980784545168
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:35:52,100,1554.4376056194305,-21.995634438036824,0.0,130.675,6653,523364,8.203976282874743
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:37:21,105,1643.0735085010529,-22.12097847491843,0.0,153.375,6852,550667,8.2371013757823
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:38:48,110,1729.8625173568726,-22.107002603328628,0.0,165.0,7032,577360,8.25616202342992
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:40:22,115,1823.766728401184,-21.93108867075509,0.0,187.7,7205,604831,8.303865432232474
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:41:49,120,1910.9338958263397,-22.10950855934684,0.0,173.1,7365,632171,8.316101226983246
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:43:26,125,2007.7554790973663,-22.186704862480973,0.0,193.3,7516,659789,8.365647839705149
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:45:01,130,2103.3269276618958,-22.21259749174211,0.0,184.5,7659,687797,8.404319139285985
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:46:35,135,2197.3598968982697,-22.38233256611246,0.0,190.475,7819,715949,8.432255578286362
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:48:18,140,2300.047791481018,-22.002165962727354,0.0,228.25,7950,745289,8.48827161955455
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:49:54,145,2396.3179473876953,-22.324124517805057,0.0,263.825,8082,772712,8.515650954568523
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:51:35,150,2497.300414800644,-22.35961740141213,0.0,239.375,8198,801253,8.555566245781051
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:53:19,155,2601.692579269409,-22.106571661953584,0.0,236.475,8330,830070,8.60237063281425
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:54:52,160,2694.1081767082214,-22.201499285112796,0.0,208.45,8450,857257,8.60617890616258
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:56:38,165,2799.9986317157745,-21.782053588620894,0.0,244.15,8565,885242,8.649827428859492
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:58:25,170,2907.289571046829,-22.08557748849304,0.0,298.2,8678,914225,8.69336588216763
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,02:00:28,175,3029.7778131961823,-21.943903801660035,0.0,416.575,8781,944159,8.776737324945511
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,02:02:27,180,3149.7282247543335,-22.342358128500752,0.0,318.125,8872,974684,8.84645892965205
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,02:04:33,185,3275.6668407917023,-18.78255271776053,0.0,440.1,8956,1004686,8.926929907394243
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,02:06:31,190,3393.503707408905,-21.559258113004926,0.0,319.275,9031,1034771,8.979885544857087
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,02:08:38,195,3520.456789493561,-20.381844960908477,0.0,330.8,9107,1064919,9.0518867653914
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,02:10:54,200,3656.004951238632,-20.90384751255404,0.0,374.775,9187,1097986,9.140012382467587
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,02:13:13,205,3795.528244972229,-18.524114387637134,0.0,462.8,9271,1128934,9.231671008054157
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,02:15:40,210,3942.1349170207977,-15.721886669672097,0.0,482.825,9334,1162544,9.333890882065058
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,02:17:59,215,4080.8254742622375,-18.211724019790708,0.0,414.525,9403,1196877,9.411206040089752
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,02:20:03,220,4205.567019224167,-16.614872962415397,0.0,392.425,9471,1227712,9.451905678408313
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,02:22:33,225,4355.207353591919,-16.464104318299555,0.0,447.125,9540,1261397,9.543818589161944
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,02:24:55,230,4497.586369752884,-15.436647546768123,0.0,438.825,9602,1295074,9.614405649232404
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,02:27:33,235,4655.055346727371,-11.3552760129846,0.0,647.8,9658,1330625,9.71178804915284
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,02:30:06,240,4808.382391214371,-15.203118578476156,0.0,467.25,9724,1365226,9.794853023754225
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,02:32:45,245,4967.056437015533,-12.691827502666431,0.0,536.35,9784,1401536,9.883428627597231
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,02:35:24,250,5126.180257797241,-10.96901222610957,0.0,662.625,9860,1437489,9.967572740382618
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,02:38:14,255,5296.309832334518,-13.008712297415775,0.0,604.55,9929,1472553,10.0676042063096
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,02:40:49,260,5451.32884812355,-16.717519201191582,0.0,454.75,9987,1507795,10.133880555588975
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,02:43:21,265,5603.273373603821,-16.761085550391083,0.0,445.1,10050,1542500,10.190439526518686
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,02:46:10,270,5772.563689231873,-12.392373607573646,0.0,573.625,10113,1578920,10.274213153028194
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,02:48:50,275,5931.981281518936,-14.267510521724983,0.0,566.95,10181,1613046,10.336027995197462
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,02:51:32,280,6093.854675531387,-11.433356475915433,0.0,688.575,10239,1645314,10.398244093013188
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,02:54:04,285,6246.468237876892,-14.76265778798501,0.0,458.725,10302,1679293,10.441221282851627
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,02:56:46,290,6408.636300563812,-11.392418274700127,0.0,633.95,10358,1715447,10.496904287285732
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,02:59:20,295,6561.806444406509,-13.235386049399315,0.0,496.65,10412,1751210,10.534726923697413
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,03:01:58,300,6720.6222150325775,-7.88690756570224,0.0,730.4,10460,1787979,10.578757193353441
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,03:04:41,305,6882.758830070496,-8.913638305067135,0.0,711.95,10523,1826188,10.625023879067927
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,03:07:17,310,7038.9505569934845,-10.502133062796412,0.0,590.1,10580,1863261,10.65934269272939
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,03:10:01,315,7203.115318775177,-9.30123834889511,0.0,678.025,10643,1902371,10.703041725049363
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,03:12:38,320,7359.868987798691,-9.818694556089557,0.0,678.325,10703,1937779,10.733142276671197
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,03:15:23,325,7524.828212022781,-10.559797920714306,0.0,605.125,10761,1974163,10.77272415312437
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,03:18:05,330,7687.479903936386,-12.610335518228876,0.0,591.125,10813,2012335,10.806474289418471
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,03:20:56,335,7858.240238189697,-11.390998592297796,0.0,567.85,10874,2051808,10.849063018895501
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,03:23:40,340,8021.7851803302765,-9.682897302122644,0.0,614.1,10926,2090415,10.879218471264528
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,03:26:23,345,8185.50496172905,-8.476370861541774,0.0,667.3,10980,2129928,10.907416039227288
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,03:29:05,350,8347.6891310215,-8.561977688201114,0.0,675.225,11034,2166035,10.93149768340209
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,03:31:52,355,8514.391845941544,-8.162032994141814,0.0,707.225,11096,2204093,10.959448035827638
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,03:34:35,360,8677.284509658813,-5.581863443537631,0.0,798.35,11154,2240654,10.980514360283628
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,03:37:26,365,8848.625626564026,-8.142914339557414,0.0,666.925,11211,2279071,11.01027619007969
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,03:40:05,370,9006.762173175812,-9.820033411113718,0.0,598.175,11269,2317486,11.021788553316314
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,03:42:55,375,9177.461220741272,-6.9659793719673,0.0,704.425,11331,2357222,11.046944072401082
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,03:45:50,380,9352.16095495224,-9.146445022769605,0.0,616.975,11387,2396477,11.074927480039541
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,03:48:33,385,9515.489386796951,-7.764465187479152,0.0,695.6,11444,2436283,11.087673421862494
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,03:51:19,390,9680.87750530243,-4.271917228212277,0.0,819.4,11492,2476175,11.10129115925725
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,03:53:59,395,9841.719782352448,-5.383649009647881,0.0,780.15,11550,2514149,11.108270220908267
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,03:56:45,400,10007.274520635605,-5.734249281881212,0.0,753.225,11613,2550574,11.119193913141887
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,03:59:25,405,10167.08794927597,-7.867600197149275,0.0,674.25,11664,2590609,11.122431606979852
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,04:02:21,410,10342.844802856445,-8.640275948076585,0.0,620.225,11719,2630349,11.141682412191457
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,04:05:05,415,10507.443826436996,-5.154751627736849,0.0,773.15,11773,2671080,11.147455471681464
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,04:07:53,420,10675.073433160782,-5.094957555998279,0.0,769.975,11824,2710513,11.155169333569587
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,04:10:35,425,10837.141939163208,-5.5588382238100404,0.0,759.1,11878,2749893,11.155881409037345
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,04:13:26,430,11008.38576579094,-5.274611514237911,0.0,748.75,11932,2789532,11.164835694450742
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,04:16:12,435,11174.125418186188,-8.00247779499418,0.0,651.1,11984,2828436,11.166989963194725
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,04:19:04,440,11345.832827091217,-5.602274663538671,0.0,759.025,12044,2869362,11.173926269984003
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,04:21:56,445,11518.660303592682,-4.392846121265286,0.0,805.725,12094,2909386,11.180722080945372
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,04:24:35,450,11676.956421136856,-5.414643032971262,0.0,759.575,12143,2950145,11.172396577692327
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,04:27:25,455,11847.284826993942,-5.625728342981963,0.0,769.65,12197,2989949,11.174636788767774
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,04:30:27,460,12029.14867758751,-4.2928636314736135,0.0,811.525,12257,3031019,11.18652715386112
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,04:33:30,465,12211.952939510345,-3.880272422909653,0.0,798.425,12305,3071800,11.197937733365075
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,04:36:25,470,12387.464459180832,-1.299286561377603,0.0,909.05,12353,3111055,11.201430629775034
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,04:39:19,475,12561.648505926132,-1.4986012181153228,0.0,888.65,12406,3150965,11.202639756854515
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,04:41:59,480,12721.33203625679,-5.415632166601787,0.0,737.275,12455,3190969,11.190060588585006
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,04:44:49,485,12890.7559633255,-1.6069914177489921,0.0,884.975,12509,3231342,11.18527794630462
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,04:47:43,490,13065.570527076721,-2.621758703508043,0.0,841.55,12553,3271571,11.184246886510428
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,04:50:26,495,13228.296386957169,-4.385602150010199,0.0,771.95,12598,3312047,11.17204605260214
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,04:53:10,500,13392.66008424759,-3.710951335322581,0.0,795.875,12644,3352600,11.160550071464645
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,04:55:52,505,13554.452580213547,-4.555470866081132,0.0,757.625,12693,3391286,11.146263261511512
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,04:58:38,510,13720.544513463974,-4.105109407017549,0.0,750.35,12735,3431445,11.134864560568255
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,05:01:24,515,13886.62595653534,-6.622498509788535,0.0,634.05,12783,3472382,11.122782928105181
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,05:04:14,520,14055.91887640953,-0.5316788306428728,0.0,865.425,12833,3513254,11.11258543826576
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,05:07:10,525,14232.100147485733,-0.010493040683801146,0.0,887.95,12885,3553462,11.107062285678097
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,05:10:00,530,14402.662397146225,-3.551792566851989,0.025,722.675,12934,3594331,11.096390841706993
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,05:12:57,535,14579.637318134308,-4.566265812709896,0.0,703.25,12982,3635163,11.089911047215898
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,05:15:51,540,14753.622217178345,-0.5989744207081762,0.0,865.75,13031,3675822,11.080395287890983
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,05:18:43,545,14925.093111515045,-1.2836174334625947,0.0,838.075,13079,3716551,11.068302996559611
