LR,Ep_timesteps,Up_timesteps,Batch_Epochs,Eval Episodes,Action_std,Date,Hour,N_Training,T_seconds,Avg_reward,Solved Avg,Avg_length,Total Episodes,Total Timesteps,ETF
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,15:28:04,5,64.05280947685242,-21.46787983354605,0.0,66.45,446,25699,7.099186673495504
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,15:29:07,10,126.86750364303589,-21.1767409421509,0.0,59.8,875,51357,7.012954002552562
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,15:30:10,15,189.79725694656372,-21.21356801454483,0.0,55.325,1293,76940,6.9768066794342465
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,15:31:14,20,253.81541657447815,-21.36754532445583,0.0,66.6,1723,102663,6.979924236933391
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,15:32:18,25,317.2231466770172,-21.132136583398204,0.0,60.675,2131,128424,6.9612857860326764
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,15:33:23,30,382.0963430404663,-21.513908320565616,0.0,70.15,2540,154113,6.969720552850652
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,15:34:30,35,449.30959582328796,-21.5727518303707,0.0,87.525,2928,179960,7.007090507518678
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,15:35:34,40,513.1309144496918,-21.66792329156086,0.0,80.425,3302,205819,6.984282020264201
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,15:36:39,45,578.7438704967499,-21.58498975246237,0.0,74.75,3638,231693,6.9842238948301025
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,15:37:46,50,645.9820923805237,-21.62050555518571,0.0,76.175,3957,257861,6.998139377435049
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,15:38:52,55,711.9342889785767,-21.65266828607085,0.0,87.65,4246,284121,6.9934960806490185
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,15:39:57,60,776.1450231075287,-21.47224599843863,0.0,77.5,4540,310347,6.970932237042321
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,15:41:05,65,844.4528448581696,-21.565011984786732,0.0,94.75,4815,336773,6.982975500368665
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,15:42:15,70,914.2739522457123,-21.611431325036886,0.0,108.825,5052,363125,7.002177565608706
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,15:43:26,75,985.8106799125671,-21.71089702591139,0.0,107.25,5281,389991,7.028465071276382
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,15:44:43,80,1062.351539850235,-22.050630924918327,0.0,134.325,5474,417259,7.082343608140945
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,15:46:00,85,1139.1104180812836,-21.846561270336217,0.0,162.875,5666,445129,7.128746589406642
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,15:47:12,90,1211.5287954807281,-21.68542955789203,0.0,144.6,5842,471809,7.142037052696133
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,15:48:28,95,1287.4709696769714,-22.078184444208333,0.0,157.275,6008,498981,7.171439191064639
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,15:49:44,100,1363.911768913269,-22.198285002329307,0.0,171.525,6165,526080,7.198423240383466
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,15:51:05,105,1444.9773948192596,-21.92831311982072,0.0,184.525,6333,554558,7.244000447770906
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,15:52:28,110,1527.1158871650696,-22.109482897616253,0.0,212.475,6487,581703,7.288507652126178
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,15:53:53,115,1612.1617493629456,-22.331973835315388,0.0,209.925,6643,609174,7.340398308289224
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,15:55:28,120,1707.1424272060394,-21.83752103668083,0.0,290.925,6771,637239,7.429230962638502
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,15:57:08,125,1807.546387910843,-21.100295637349944,0.0,220.225,6883,667293,7.531443292233679
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,15:58:38,130,1897.492303609848,-21.667404000754768,0.0,243.65,6990,695908,7.581860284626994
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:00:08,135,1987.9606766700745,-21.238963875905625,0.0,212.3,7087,724405,7.628696847450095
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:01:58,140,2097.4305741786957,-21.447058309424104,0.0,325.45,7178,754490,7.740517605826969
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:03:58,145,2217.5654876232147,-19.080431988789545,0.0,401.5,7298,786116,7.880429096975546
