LR,Ep_timesteps,Up_timesteps,Batch_Epochs,Eval Episodes,Action_std,Date,Hour,N_Training,T_seconds,Avg_reward,Solved Avg,Avg_length,Total Episodes,Total Timesteps,ETF
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:38:05,5,69.85003304481506,-20.77436461732495,0.0,46.6,595,25468,7.741712312234773
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:39:13,10,138.02523565292358,-20.86706589038075,0.0,42.5,1170,50922,7.62972840918435
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:40:28,15,213.46600604057312,-20.942104320933804,0.0,45.2,1744,76397,7.846852363657069
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:41:39,20,284.60530138015747,-20.80161115902531,0.0,42.925,2318,101997,7.826645846499337
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:42:54,25,359.19935631752014,-20.86285732613832,0.0,43.175,2907,127576,7.882430355416404
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:44:08,30,433.6173975467682,-20.900347743656123,0.0,46.575,3474,153203,7.909502563653168
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:45:17,35,502.4542427062988,-20.787880583263945,0.0,48.25,4016,178616,7.835893705988687
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:46:27,40,572.4039685726166,-20.922585317510993,0.0,48.075,4581,204071,7.791054051717122
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:47:38,45,643.783611536026,-20.860148567401126,0.0,52.275,5109,229585,7.769117077059216
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:48:52,50,716.9099686145782,-20.738711066107363,0.0,38.725,5625,255203,7.766524692840046
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:50:02,55,787.5251748561859,-20.937239438093464,0.0,51.025,6146,280821,7.736042775764609
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:51:16,60,861.424989938736,-21.034653779019305,0.0,57.15,6653,306398,7.736872619854079
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:52:30,65,935.6211628913879,-21.14388700481428,0.0,54.1,7139,332163,7.736867323966108
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:53:43,70,1007.9342806339264,-21.00769415314735,0.0,58.4,7604,357788,7.719496718295036
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:54:53,75,1078.175065279007,-20.87187416841369,0.0,58.775,8055,383461,7.686988914277818
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:56:04,80,1149.2665331363678,-20.85275969671089,0.0,62.45,8489,409113,7.661776906119453
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:57:16,85,1221.0654349327087,-21.111145890683098,0.0,67.3,8909,434923,7.64163500867638
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:58:39,90,1304.1929438114166,-21.10649604366777,0.0,63.5,9312,460968,7.688297966402254
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:00:01,95,1386.5578181743622,-21.074225236746432,0.0,69.275,9692,487000,7.72337036713522
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:01:14,100,1459.8009686470032,-21.196685309763645,0.0,74.35,10078,513015,7.704505127867063
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:02:34,105,1539.2262454032898,-21.08229694109084,0.0,75.0,10427,539019,7.716491377413589
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:03:49,110,1614.8024711608887,-21.088891704463204,0.0,89.75,10764,565190,7.707011809379163
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:05:09,115,1694.82737326622,-21.32367877309239,0.0,88.25,11050,591198,7.716786483514712
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:06:34,120,1779.8256149291992,-21.274493070653413,0.0,95.6,11336,617564,7.745537437068092
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:08:03,125,1867.8497486114502,-21.62972145713909,0.0,148.8,11615,643776,7.78270729707347
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:09:25,130,1950.7225303649902,-21.510468371257442,0.0,112.675,11881,669820,7.7945537093867605
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:11:02,135,2047.4845905303955,-21.45422728780709,0.0,127.825,12100,697696,7.857116804959353
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:12:28,140,2133.212976694107,-21.502108678116294,0.0,124.025,12306,724791,7.872571704652574
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:14:04,145,2228.938841342926,-21.619409882197857,0.0,142.075,12493,752072,7.9208459772963185
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:15:40,150,2325.6558644771576,-21.458618333460638,0.0,161.775,12648,780697,7.967524729967117
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:17:31,155,2436.167780160904,-20.93401850767875,0.0,199.275,12783,810160,8.055070893958906
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:19:33,160,2558.498603820801,-20.66501736178487,0.0,252.275,12925,839707,8.172981661922401
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:21:22,165,2667.668804168701,-20.8543163982922,0.0,196.45,13046,868815,8.241030743802437
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:23:31,170,2796.2960274219513,-19.364421533790228,0.0,324.55,13164,901740,8.36147344389772
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:25:45,175,2930.5532360076904,-19.927645043808145,0.0,369.075,13274,932094,8.489301046993997
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:27:56,180,3061.522988319397,-20.760457698538474,0.0,312.5,13370,963850,8.598721977523814
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:30:08,185,3193.198639392853,-19.400546977909976,0.0,332.75,13470,995698,8.702185488495383
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:32:16,190,3321.3246915340424,-19.419435447853523,0.0,306.075,13561,1028151,8.788885523380591
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:34:27,195,3452.0142345428467,-20.750369144890414,0.0,275.65,13650,1061169,8.875905573901287
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:36:45,200,3590.7779648303986,-19.538438078520286,0.0,369.7,13740,1095129,8.976944919692146
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:39:00,205,3725.5495715141296,-19.351297957040934,0.0,432.95,13821,1126283,9.061465446464414
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:41:14,210,3859.811807155609,-19.269283803694,0.0,328.575,13907,1160162,9.138972406652238
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:43:28,215,3993.540309906006,-18.618520844598546,0.0,338.525,13977,1191304,9.209908865741058
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:45:44,220,4129.601975917816,-20.141244440604268,0.0,314.6,14073,1225722,9.28117616363246
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:48:00,225,4265.306259870529,-17.717448263225187,0.0,444.775,14154,1255984,9.346813104115885
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:50:08,230,4393.735636949539,-20.11485958364983,0.0,330.5,14246,1286043,9.392405910172325
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:52:23,235,4527.9372301101685,-18.80491996693641,0.0,446.625,14320,1317606,9.446582998131746
