LR,Ep_timesteps,Up_timesteps,Batch_Epochs,Eval Episodes,Action_std,Date,Hour,N_Training,T_seconds,Avg_reward,Solved Avg,Avg_length,Total Episodes,Total Timesteps,ETF
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:12:41,5,63.30171823501587,-21.260217062793906,0.0,73.65,421,25811,7.015941652523146
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:13:42,10,124.35681128501892,-21.229040596781733,0.0,58.225,825,51559,6.874168284402954
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:14:42,15,184.49920892715454,-21.24562150645426,0.0,64.0,1219,77404,6.7820565059229185
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:15:44,20,246.52879571914673,-21.25831121730859,0.0,64.8,1597,103291,6.779542085197237
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:16:45,25,307.79220056533813,-21.396532467212904,0.0,73.65,1967,129132,6.75432888203197
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:17:48,30,370.3123662471771,-21.25682217101929,0.0,67.625,2315,154960,6.754771895850146
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:18:53,35,435.202041387558,-21.392142034520305,0.0,77.675,2665,181143,6.787079498994919
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:19:56,40,498.24021077156067,-21.29482358097229,0.0,73.275,2984,207349,6.781602903935644
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:21:01,45,563.1523339748383,-21.458008240904242,0.0,81.075,3294,233450,6.7960667802890145
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:22:08,50,630.0899617671967,-21.22504317123399,0.0,81.125,3592,259534,6.825974616209666
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:23:15,55,697.223221540451,-21.399239832077132,0.0,89.025,3877,285667,6.848986071853926
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:24:20,60,762.4890208244324,-21.59096383052954,0.0,101.925,4161,311901,6.848281101076692
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:25:29,65,831.6377811431885,-21.668536781108077,0.0,106.75,4421,338599,6.877004751680245
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:26:36,70,898.3061995506287,-21.814036945033983,0.0,104.8,4673,365196,6.879884801696217
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:27:43,75,965.4603757858276,-21.854538501586756,0.0,119.65,4910,391457,6.883374917838308
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:28:56,80,1038.3876430988312,-21.94526784928548,0.0,139.4,5109,418420,6.922584325141377
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:30:15,85,1117.408391714096,-21.880499853016428,0.0,180.625,5286,445445,6.992931619048897
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:31:33,90,1195.0131962299347,-21.98019091946569,0.0,167.65,5473,473087,7.044676590017331
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:32:53,95,1275.7982907295227,-21.700388135651323,0.0,158.875,5632,501481,7.106420344065504
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:34:12,100,1354.4267382621765,-21.730795868616465,0.0,132.125,5790,530203,7.148363346722391
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:35:41,105,1443.407749414444,-21.940480128601273,0.0,233.95,5933,559037,7.2361314559834335
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:37:05,110,1527.9000787734985,-21.83300710575984,0.0,214.8,6049,587886,7.292250387819127
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:38:50,115,1632.2171423435211,-20.328245897837082,0.0,301.975,6166,618000,7.431713429228695
