LR,Ep_timesteps,Up_timesteps,Batch_Epochs,Eval Episodes,Action_std,Date,Hour,N_Training,T_seconds,Avg_reward,Solved Avg,Avg_length,Total Episodes,Total Timesteps,ETF
0.0005,1000,5000,10,40,0.10000000149011612,08/02/2021,23:19:12,5,35.95438027381897,-20.891709907459596,0.0,55.825,447,25391,3.9849438926908705
0.0005,1000,5000,10,40,0.10000000149011612,08/02/2021,23:19:45,10,68.7045738697052,-21.2248657165566,0.0,51.125,887,50759,3.7978362192047967
0.0005,1000,5000,10,40,0.10000000149011612,08/02/2021,23:20:19,15,102.84046745300293,-20.876232526752897,0.0,57.15,1335,76211,3.7803394314094825
0.0005,1000,5000,10,40,0.10000000149011612,08/02/2021,23:20:55,20,138.10507678985596,-20.99046482684973,0.0,55.675,1771,101625,3.797889637814628
0.0005,1000,5000,10,40,0.10000000149011612,08/02/2021,23:21:30,25,173.16131234169006,-21.049675826458937,0.0,58.75,2195,127045,3.7999288141065173
0.0005,1000,5000,10,40,0.10000000149011612,08/02/2021,23:22:04,30,207.68023443222046,-21.36201740447734,0.0,59.775,2589,152235,3.7882413261025043
0.0005,1000,5000,10,40,0.10000000149011612,08/02/2021,23:22:39,35,242.64972591400146,-21.027394411783995,0.0,61.5,2995,177602,3.7841802641796685
0.0005,1000,5000,10,40,0.10000000149011612,08/02/2021,23:23:15,40,278.13266253471375,-21.249279388016785,0.0,70.3,3412,202985,3.785694579746988
0.0005,1000,5000,10,40,0.10000000149011612,08/02/2021,23:23:49,45,312.88292264938354,-21.165869103215663,0.0,66.875,3778,228320,3.7758402170811167
0.0005,1000,5000,10,40,0.10000000149011612,08/02/2021,23:24:25,50,348.1487488746643,-21.302159015201532,0.0,64.575,4142,253687,3.7716114562749863
0.0005,1000,5000,10,40,0.10000000149011612,08/02/2021,23:25:00,55,383.48956632614136,-20.91612490301466,0.0,68.975,4504,279254,3.7671071127267797
0.0005,1000,5000,10,40,0.10000000149011612,08/02/2021,23:25:35,60,418.958532333374,-21.35360332926343,0.0,71.775,4865,304770,3.7628683059524604
0.0005,1000,5000,10,40,0.10000000149011612,08/02/2021,23:26:11,65,454.65248799324036,-21.219858225911793,0.0,82.45,5215,330272,3.759626354519119
0.0005,1000,5000,10,40,0.10000000149011612,08/02/2021,23:26:47,70,490.0759496688843,-21.238889113896626,0.0,78.4,5536,355796,3.7533594593169193
0.0005,1000,5000,10,40,0.10000000149011612,08/02/2021,23:27:23,75,526.2530617713928,-21.3257467914351,0.0,90.35,5853,381345,3.7519894284230695
0.0005,1000,5000,10,40,0.10000000149011612,08/02/2021,23:27:59,80,562.5742914676666,-21.011213637039027,0.0,86.45,6165,407047,3.750495281087028
0.0005,1000,5000,10,40,0.10000000149011612,08/02/2021,23:28:35,85,598.6731252670288,-21.383682274043416,0.0,92.925,6445,432561,3.7465981560088455
0.0005,1000,5000,10,40,0.10000000149011612,08/02/2021,23:29:12,90,635.2810175418854,-21.447470184163073,0.0,109.975,6713,458250,3.7450208187765543
0.0005,1000,5000,10,40,0.10000000149011612,08/02/2021,23:29:49,95,672.5521330833435,-21.452495931887494,0.0,114.6,6947,483939,3.7462333780561967
0.0005,1000,5000,10,40,0.10000000149011612,08/02/2021,23:30:28,100,711.1949665546417,-21.60072850876976,0.0,127.675,7159,509668,3.7535289937257765
0.0005,1000,5000,10,40,0.10000000149011612,08/02/2021,23:31:06,105,749.8220965862274,-21.553638386827863,0.0,112.475,7352,535965,3.7590287692143174
0.0005,1000,5000,10,40,0.10000000149011612,08/02/2021,23:31:47,110,790.1775772571564,-21.495870462727556,0.0,118.8,7541,563476,3.771302075482378
0.0005,1000,5000,10,40,0.10000000149011612,08/02/2021,23:32:28,115,831.5103003978729,-21.3389659722134,0.0,159.3,7704,590276,3.785982890445829
0.0005,1000,5000,10,40,0.10000000149011612,08/02/2021,23:33:09,120,872.5734815597534,-21.493970469714203,0.0,174.425,7841,616199,3.7973105235453
0.0005,1000,5000,10,40,0.10000000149011612,08/02/2021,23:33:52,125,915.1866836547852,-21.4255983657775,0.0,174.925,7986,643041,3.81327785147561
0.0005,1000,5000,10,40,0.10000000149011612,08/02/2021,23:34:36,130,959.5898690223694,-21.394063792481326,0.0,188.175,8122,669940,3.8342586682953383
0.0005,1000,5000,10,40,0.10000000149011612,08/02/2021,23:35:22,135,1005.2796025276184,-19.965834435939165,0.0,215.825,8240,696916,3.8577087654645554
0.0005,1000,5000,10,40,0.10000000149011612,08/02/2021,23:36:10,140,1053.4913473129272,-20.87706392894016,0.0,218.1,8356,724369,3.8878847383317496
0.0005,1000,5000,10,40,0.10000000149011612,08/02/2021,23:37:00,145,1103.531660079956,-20.285430833269043,0.0,325.8,8458,750737,3.9215540818122157
0.0005,1000,5000,10,40,0.10000000149011612,08/02/2021,23:37:52,150,1155.1447150707245,-19.57310843530619,0.0,307.65,8558,777482,3.95744022987507
0.0005,1000,5000,10,40,0.10000000149011612,08/02/2021,23:38:45,155,1208.6197185516357,-19.967872742996793,0.0,306.975,8658,805954,3.9962426200242023
0.0005,1000,5000,10,40,0.10000000149011612,08/02/2021,23:39:36,160,1259.3080520629883,-20.981413428894967,0.0,250.45,8758,833697,4.022789613670773
0.0005,1000,5000,10,40,0.10000000149011612,08/02/2021,23:40:28,165,1311.9548358917236,-18.707472058021985,0.0,302.7,8867,861694,4.052924456704746
0.0005,1000,5000,10,40,0.10000000149011612,08/02/2021,23:41:22,170,1365.2196412086487,-18.47660195796471,0.0,342.85,8953,888196,4.0822744201250325
0.0005,1000,5000,10,40,0.10000000149011612,08/02/2021,23:42:18,175,1421.494576215744,-19.46842656643213,0.0,346.925,9029,917384,4.117821591770839
0.0005,1000,5000,10,40,0.10000000149011612,08/02/2021,23:43:13,180,1476.4537913799286,-17.664691817306768,0.0,331.5,9121,946040,4.146830094280066
0.0005,1000,5000,10,40,0.10000000149011612,08/02/2021,23:44:18,185,1541.569608449936,-15.309244640669615,0.0,455.675,9195,974947,4.201124385788634
0.0005,1000,5000,10,40,0.10000000149011612,08/02/2021,23:45:15,190,1598.7078976631165,-18.80294274510259,0.0,389.775,9269,1003185,4.230498970656367
0.0005,1000,5000,10,40,0.10000000149011612,08/02/2021,23:46:14,195,1657.8500077724457,-18.11444866355638,0.0,403.175,9353,1032830,4.262705507181648
0.0005,1000,5000,10,40,0.10000000149011612,08/02/2021,23:47:16,200,1719.237553358078,-17.888192181660806,0.0,493.625,9428,1060751,4.298093886242972
