LR,Ep_timesteps,Up_timesteps,Batch_Epochs,Eval Episodes,Action_std,Date,Hour,N_Training,T_seconds,Avg_reward,Solved Avg,Avg_length,Total Episodes,Total Timesteps,ETF
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:26:23,5,83.57823896408081,-20.696376630679794,0.0,40.8,587,25411,9.263255082170168
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:27:45,10,164.80126333236694,-20.71384515889887,0.0,37.425,1208,50641,9.109847756359311
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:29:06,15,246.4222536087036,-20.804819873695212,0.0,43.3,1824,76104,9.05829955984045
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:30:35,20,334.8249878883362,-20.87277739166536,0.0,42.25,2435,101726,9.20768726448218
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:31:55,25,415.6098005771637,-20.73387279932833,0.0,36.375,3053,127350,9.120326210459073
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:33:18,30,498.0213897228241,-20.91663871392641,0.0,40.125,3636,152853,9.084279083455051
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:34:40,35,580.6458096504211,-20.866248740651436,0.0,49.125,4192,178370,9.055309690738483
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:36:05,40,665.513085603714,-20.836997917061403,0.0,51.025,4757,204081,9.058372586038377
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:37:32,45,751.7913272380829,-20.896628004310976,0.0,44.35,5306,229835,9.0725435143562
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:38:54,50,834.4077377319336,-20.883582238779056,0.0,44.15,5868,255392,9.039417181478607
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:40:16,55,915.8693923950195,-21.005867362042867,0.0,48.4,6407,280960,8.996797837639097
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:41:36,60,996.4677410125732,-20.894258700527313,0.0,44.3,6935,306493,8.949756588030743
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:43:01,65,1080.9668362140656,-21.136213940429933,0.0,50.975,7456,331995,8.938764314274504
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:44:28,70,1168.3151366710663,-20.99526029458597,0.0,51.7,7951,357492,8.947810438956532
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:45:49,75,1249.1637921333313,-20.97924189013529,0.0,54.15,8409,383009,8.906075230152519
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:47:11,80,1331.217607975006,-21.16882635776806,0.0,63.325,8884,408748,8.87478406223986
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:48:31,85,1410.9530210494995,-20.91796910117426,0.0,55.125,9348,434580,8.829983792566008
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:49:58,90,1498.444898366928,-21.106895808194583,0.0,62.975,9794,460270,8.833425188741566
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:51:21,95,1580.8810949325562,-21.227469726840262,0.0,64.175,10216,485919,8.805785053839461
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:52:43,100,1663.171098947525,-21.03550935158904,0.0,65.05,10633,511510,8.777847477330102
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:54:06,105,1745.8117380142212,-21.221671443858167,0.0,74.675,11018,537376,8.752151450413876
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:55:30,110,1830.6695442199707,-21.238290351485,0.0,70.25,11394,563255,8.737286467479937
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:56:53,115,1913.4464676380157,-21.141841194601803,0.0,73.55,11754,589080,8.7121898488722
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:58:16,120,1996.1768951416016,-21.30265179364639,0.0,80.775,12068,615070,8.687066170771917
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,16:59:43,125,2083.491697072983,-21.3431462967837,0.0,94.375,12373,641051,8.68121542579598
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:01:10,130,2170.190363407135,-21.19750947586812,0.0,100.075,12647,667554,8.671487146672021
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:02:38,135,2258.4811277389526,-21.329108362207016,0.0,107.625,12884,694284,8.66680516106847
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:04:12,140,2351.7580993175507,-21.597551412818202,0.0,137.675,13121,721097,8.679107281120997
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:05:43,145,2442.720603466034,-21.11181076388395,0.0,129.175,13348,747214,8.68054928200455
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:07:24,150,2544.0934739112854,-21.50650233016572,0.0,168.625,13545,773866,8.715875801024614
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:09:04,155,2643.9196894168854,-21.280689231699046,0.0,135.825,13736,801679,8.741992530190391
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:10:50,160,2749.9240913391113,-21.477025823062146,0.0,210.275,13902,829623,8.784479742745559
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:12:47,165,2866.9936323165894,-21.134052103680084,0.0,227.1,14055,858662,8.856790108168969
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:15:02,170,3002.0263085365295,-18.929553009468172,0.0,317.55,14162,888841,8.976647302446022
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:17:27,175,3147.2093217372894,-18.770960117778312,0.0,358.1,14261,920621,9.116915899467847
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:19:59,180,3299.6619594097137,-17.777459843913615,0.0,396.4,14356,951304,9.267569090230966
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:22:22,185,3442.3022241592407,-19.19978698645138,0.0,294.375,14449,982277,9.381048879521385
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:25:07,190,3607.3125722408295,-15.134751076721475,0.0,414.475,14556,1014908,9.545666315231406
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:27:59,195,3779.4415097236633,-16.660617249478022,0.0,402.75,14629,1048692,9.717794781184605
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:30:43,200,3943.310164451599,-15.303256014370358,0.0,538.0,14712,1080025,9.858275422520109
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:33:26,205,4106.34845161438,-18.056400167954738,0.0,420.4,14790,1114186,9.987663261247523
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:36:23,210,4282.919159889221,-15.58919112371515,0.0,483.025,14858,1149052,10.140774224438363
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:38:53,215,4432.958855390549,-18.275940321428756,0.0,373.25,14919,1180629,10.22329659055832
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:41:50,220,4610.452208280563,-17.387484999638517,0.0,483.9,14982,1219245,10.361874930912798
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:44:31,225,4770.974676847458,-18.229926372978177,0.0,362.225,15061,1251819,10.454913646836339
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:47:34,230,4954.347522497177,-11.445330097062932,0.0,602.1,15123,1287160,10.590815363224001
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:50:16,235,5116.635721683502,-14.961931574914786,0.0,506.775,15188,1322009,10.6747778402364
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:53:00,240,5280.1983070373535,-14.922819694244714,0.0,532.45,15255,1356092,10.755959518397296
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:56:02,245,5461.922044277191,-9.06880284788569,0.0,621.3,15311,1393226,10.868110194699565
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,17:58:59,250,5639.463818073273,-11.74438680436308,0.0,537.975,15374,1431393,10.965624112089476
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,18:01:53,255,5813.035769462585,-12.535132682289731,0.0,505.45,15431,1467793,11.049833790745609
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,18:04:43,260,5982.900392770767,-10.112979904480591,0.0,594.35,15496,1504650,11.122058425097384
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,18:07:40,265,6160.5575404167175,-8.937382207487763,0.0,655.0,15562,1541227,11.203948990151568
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,18:10:29,270,6329.489763021469,-10.418812463755685,0.0,580.875,15621,1576187,11.265449892655322
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,18:13:24,275,6504.138474225998,-10.43364336911831,0.0,572.4,15674,1613458,11.332968557982733
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,18:16:20,280,6680.1524658203125,-10.347794216383303,0.0,567.8,15738,1651555,11.398672860927052
