LR,Ep_timesteps,Up_timesteps,Batch_Epochs,Eval Episodes,Action_std,Date,Hour,N_Training,T_seconds,Avg_reward,Solved Avg,Avg_length,Total Episodes,Total Timesteps,ETF
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,00:32:53,5,100.27227735519409,-20.734827276617867,0.0,43.65,525,25797,11.113511109285884
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,00:34:29,10,196.00517392158508,-20.67971644741749,0.0,43.7,1068,51394,10.834730604953236
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,00:36:09,15,295.80123591423035,-20.591362180106014,0.0,52.075,1613,76755,10.873434415856996
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,00:37:39,20,386.24686551094055,-20.74215859453468,0.0,53.075,2135,102447,10.621788886057006
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,00:39:10,25,477.5479025840759,-20.77542665732088,0.0,52.925,2654,128003,10.479523459076882
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,00:40:44,30,571.2325372695923,-20.743327690133864,0.0,54.0,3146,153522,10.419704653686948
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,00:42:20,35,667.2952771186829,-20.5942179661439,0.0,56.225,3638,179205,10.40662877768751
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,00:43:55,40,762.5005941390991,-20.916842380675956,0.0,60.8,4130,204892,10.378480350573858
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,00:45:29,45,856.5785882472992,-20.763614629328156,0.0,56.25,4605,230534,10.337105879768913
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,00:47:05,50,952.026424407959,-20.764513078193907,0.0,52.95,5065,256293,10.313619633250767
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,00:48:36,55,1043.2843899726868,-20.94165002444905,0.0,58.075,5499,282035,10.248424967069818
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,00:50:11,60,1137.9079051017761,-20.835701434725035,0.0,55.275,5927,307727,10.220098798120464
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,00:51:43,65,1230.667997121811,-20.795932730352526,0.0,60.35,6339,333694,10.176677758204631
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,00:53:21,70,1328.1562948226929,-20.978017395963608,0.0,68.95,6742,359548,10.171990755559907
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,00:54:58,75,1424.9857807159424,-20.654688865426294,0.0,65.475,7122,385229,10.159620860329381
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,00:56:37,80,1524.1327049732208,-20.866621164453548,0.0,75.1,7486,411208,10.160884722802374
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,00:58:15,85,1621.8954968452454,-21.123968179192637,0.0,77.275,7813,437063,10.150097657072
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,00:59:53,90,1719.8224205970764,-21.11343457420151,0.0,80.95,8145,463106,10.138459346294404
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,01:01:32,95,1819.1481683254242,-20.866197770718014,0.0,77.925,8468,489226,10.132974485685253
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,01:03:11,100,1917.9963834285736,-21.082743524578667,0.0,101.075,8763,515354,10.122758705615997
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,01:04:51,105,2018.4686586856842,-21.009712820792636,0.0,99.3,9061,541732,10.11904263131202
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,01:06:26,110,2113.264277458191,-21.109053894701592,0.0,88.025,9329,567843,10.086034064298929
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,01:08:19,115,2225.9970049858093,-21.221874444608744,0.0,141.575,9562,594390,10.135276232557596
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,01:10:03,120,2330.3894085884094,-20.98036043462381,0.0,127.625,9802,620918,10.141509483125475
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,01:11:55,125,2441.985873222351,-21.137057595615282,0.0,172.45,10003,648002,10.174941166374419
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,01:13:38,130,2544.9861118793488,-21.212094923814448,0.0,110.6,10221,675019,10.16906846056127
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,01:15:36,135,2663.4599430561066,-21.179681904931776,0.0,171.175,10408,703266,10.220890530907077
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,01:17:35,140,2782.5830538272858,-21.10424386224967,0.0,148.55,10565,731945,10.269056517122282
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,01:19:46,145,2912.967586040497,-19.80592084400617,0.0,205.55,10722,761757,10.351637729088921
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,01:21:45,150,3032.059024333954,-21.184430135701554,0.0,223.6,10846,789533,10.387609633295625
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,01:23:49,155,3155.8489139080048,-21.001281276994565,0.0,179.9,10996,818425,10.434661757279468
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,01:26:14,160,3300.7686789035797,-19.899050984160734,0.0,346.2,11120,847909,10.544122173587482
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,01:28:41,165,3448.3684186935425,-19.843796458697106,0.0,211.825,11212,879954,10.652787980537623
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,01:31:26,170,3612.7170617580414,-18.082752121036616,0.0,397.625,11309,910792,10.802732399024215
