LR,Ep_timesteps,Up_timesteps,Batch_Epochs,Eval Episodes,Action_std,Date,Hour,N_Training,T_seconds,Avg_reward,Solved Avg,Avg_length,Total Episodes,Total Timesteps,ETF
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:13:15,5,65.62189149856567,-20.901957325327313,0.0,54.125,476,25987,7.273094189365705
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:14:19,10,129.60321927070618,-20.82877597637151,0.0,46.925,980,51437,7.164178111619419
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:15:23,15,193.42740082740784,-20.89875041674841,0.0,48.95,1478,77047,7.110248070469609
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:16:27,20,257.89977979660034,-20.857399562178554,0.0,56.225,1934,102598,7.092244264748361
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:17:31,25,321.40104126930237,-21.072495347147264,0.0,56.0,2377,128115,7.0529674301544825
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:18:38,30,388.22490978240967,-21.004126691575994,0.0,58.2,2814,153947,7.08150998002953
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:19:43,35,453.38935923576355,-20.832476840960155,0.0,57.45,3219,179867,7.070715047367035
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:20:48,40,518.8760368824005,-21.047167935464735,0.0,65.475,3610,205927,7.062479419575797
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:21:54,45,584.342321395874,-20.99309288506626,0.0,61.25,3979,231886,7.0517854527705985
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:23:02,50,653.0958576202393,-21.247241584120356,0.0,74.925,4320,257878,7.0752051545514
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:24:11,55,721.8901941776276,-21.28166545348744,0.0,83.675,4629,284576,7.091295116646122
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:25:20,60,791.0435519218445,-21.348811202329266,0.0,88.775,4930,310701,7.104743029364832
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:26:29,65,860.0144655704498,-21.256064968947975,0.0,81.2,5211,337207,7.111658101769594
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:27:41,70,932.0347867012024,-21.80391674445154,0.0,114.55,5496,363854,7.138203002271198
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:28:50,75,1000.419992685318,-21.51162972608126,0.0,112.825,5755,389570,7.132624034859516
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:30:02,80,1072.4576659202576,-21.747470706409423,0.0,121.4,6008,416092,7.149717805849181
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:31:16,85,1146.2252519130707,-21.72183202985882,0.0,136.9,6252,442018,7.173272421387287
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:32:35,90,1225.2113444805145,-21.68255288483461,0.0,145.575,6469,469512,7.22269655731725
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:33:51,95,1301.9751133918762,-21.813762735907684,0.0,137.5,6693,496600,7.252229813553436
0.0005,1000,5000,10,40,0.10000000149011612,10/02/2021,04:35:02,100,1372.282372713089,-21.548206060973335,0.0,104.65,6903,523307,7.242601419819726
