LR,Ep_timesteps,Up_timesteps,Batch_Epochs,Eval Episodes,Action_std,Date,Hour,N_Training,T_seconds,Avg_reward,Solved Avg,Avg_length,Total Episodes,Total Timesteps,ETF
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:11:05,5,66.45325493812561,-20.960099933859,0.0,58.35,423,26218,7.365235940019289
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:12:09,10,131.28069138526917,-21.17945364655972,0.0,57.5,837,51674,7.256909997728136
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:13:15,15,196.84590029716492,-21.249252894185954,0.0,70.55,1251,77301,7.235909867971032
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:14:23,20,265.28758668899536,-21.19318735869016,0.0,75.8,1631,103125,7.295408895479309
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:15:31,25,332.7654027938843,-21.05275014881395,0.0,71.125,1990,129107,7.302351920406024
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:16:37,30,398.5482439994812,-21.253728077403093,0.0,72.475,2324,154749,7.269815234232833
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:17:45,35,467.29769921302795,-21.409936071243443,0.0,82.25,2652,181065,7.287618917103798
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:18:54,40,535.8298568725586,-21.553481827124873,0.0,90.75,2958,207436,7.293239750266075
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:20:03,45,605.0869870185852,-21.573277440106487,0.0,100.225,3274,233311,7.302130025772401
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:21:13,50,674.4512741565704,-21.614472882649487,0.0,93.425,3562,259417,7.306555500361655
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:22:24,55,746.2981407642365,-21.64444393190246,0.0,108.875,3844,285760,7.3310600374623975
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:23:37,60,818.5223441123962,-21.56638520633116,0.0,115.75,4113,312605,7.351543358674755
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:24:52,65,893.4850702285767,-21.493331295752466,0.0,110.275,4349,339850,7.3884342499574025
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:26:03,70,965.0632967948914,-21.374235023542127,0.0,120.25,4567,366295,7.391159395670134
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:27:20,75,1041.8265659809113,-21.6014663600516,0.0,138.8,4783,393458,7.427837563620673
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:28:36,80,1117.6197769641876,-21.755895320606662,0.0,141.6,4986,420508,7.450798529982567
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:29:53,85,1195.1138966083527,-21.751109470129734,0.0,140.3,5179,447274,7.479225870550069
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:31:14,90,1275.9743099212646,-21.648358515774056,0.0,169.7,5373,474372,7.521947334158567
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:32:31,95,1352.5783586502075,-21.228443455519447,0.0,153.575,5554,500844,7.534098766076634
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:33:51,100,1432.455982208252,-21.265471001495293,0.0,165.35,5725,528791,7.5601843615372974
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:35:14,105,1516.11354970932,-20.75593198855001,0.0,201.8,5884,555694,7.600622174326705
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:36:40,110,1601.613600730896,-21.336071516992725,0.0,171.325,6035,583943,7.64406492543943
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:38:04,115,1685.9589064121246,-21.35649914084999,0.0,182.675,6181,611378,7.676407108361595
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:39:31,120,1772.6311416625977,-21.4910384274877,0.0,189.85,6330,639995,7.714228139961207
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:41:02,125,1863.7686014175415,-21.278541829638748,0.0,221.85,6462,668689,7.765702516171667
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:42:32,130,1953.8999655246735,-20.646349349491146,0.0,221.95,6594,697411,7.807249900576396
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:44:00,135,2041.9332954883575,-21.20408301802829,0.0,213.825,6726,726007,7.835814036052414
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:45:41,140,2143.3737881183624,-20.975930982259435,0.0,219.475,6842,756214,7.910069945208609
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:47:11,145,2233.379341363907,-21.038592570708765,0.0,214.725,6960,785549,7.936625851831217
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:48:51,150,2333.078204870224,-20.710142364963552,0.0,309.3,7075,814139,7.992953118549453
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:50:39,155,2440.7189190387726,-19.89361495785009,0.0,317.5,7185,843564,8.070119013786316
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:52:23,160,2545.0959062576294,-20.754225629984067,0.0,264.3,7291,873277,8.13016748762793
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:54:10,165,2652.209347486496,-20.348818674867008,0.0,291.1,7400,903253,8.193273015313277
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:56:00,170,2761.6589431762695,-19.616785126203684,0.0,297.65,7516,933134,8.257901750390047
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:57:55,175,2877.1258883476257,-19.784372042602325,0.0,349.525,7608,964712,8.334531350722388
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,01:59:53,180,2994.9388732910156,-18.622871566948906,0.0,309.35,7686,996949,8.4117110598676
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,02:01:52,185,3113.7718291282654,-16.190952542998772,0.0,440.85,7775,1026097,8.485729540820952
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,02:04:00,190,3242.2013790607452,-19.60934053874302,0.0,317.45,7867,1060263,8.579509519837055
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,02:06:04,195,3365.4130399227142,-16.22258685026338,0.0,411.925,7951,1092315,8.653234398818425
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,02:08:06,200,3488.04163646698,-15.017388671862012,0.0,484.525,8027,1124674,8.72010411315494
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,02:10:17,205,3619.091889858246,-15.99244398129984,0.0,451.675,8106,1159112,8.802533825414613
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,02:12:26,210,3747.4674339294434,-20.229407015574374,0.0,362.5,8174,1193683,8.872971841112646
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,02:14:29,215,3870.76561832428,-18.88912834201602,0.0,340.35,8256,1227553,8.92676567375044
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,02:16:39,220,4000.4926578998566,-17.190953721353896,0.0,464.0,8327,1261481,8.991006229254934
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,02:18:59,225,4140.869731664658,-12.082289721813817,0.0,536.7,8397,1297678,9.074128119077212
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,02:21:08,230,4269.762469530106,-19.568511678577487,0.0,358.8,8466,1333622,9.127390791258373
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,02:23:25,235,4406.759335279465,-12.241274541732434,0.0,593.375,8525,1366174,9.193770958436016
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,02:25:40,240,4541.780245065689,-11.564645801448243,0.0,611.55,8586,1399168,9.251774577962028
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,02:27:58,245,4680.086794137955,-9.505548693457582,0.0,640.3,8639,1431833,9.312417605611202
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,02:30:22,250,4823.685725688934,-9.567324392105302,0.0,666.05,8700,1466787,9.379388927486207
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,02:32:38,255,4959.683766126633,-9.485483480078207,0.0,628.3,8756,1500245,9.427721331650655
0.0005,1000,5000,10,40,0.10000000149011612,09/02/2021,02:34:55,260,5096.963633060455,-9.104365957103557,0.0,699.25,8806,1535051,9.475124709157862
