Episode,Delta V,Accum Reward,Total Time,Solved
1.0,820.9923560434537,23.00928428805377,22.71,1.0
2.0,591.9904042554178,27.10311380578538,11.16,1.0
3.0,355.7018479310407,15.043162528351779,8.23,1.0
4.0,626.1354274164742,27.4359644071967,7.92,1.0
5.0,245.10886507445025,5.919416205489779,5.9,0.0
6.0,397.2273658006693,19.55700954165163,7.87,1.0
7.0,902.5513625262382,34.70791060031003,15.84,1.0
8.0,545.2564909341356,23.675054537332688,7.46,1.0
9.0,387.7123710086431,16.302018520845387,5.0,1.0
10.0,341.3169155485348,11.5500116700154,6.18,0.0
11.0,900.9501004383567,36.909161456427505,9.3,0.0
12.0,486.47989560659306,23.477998951427114,9.790000000000001,1.0
13.0,324.7446070195313,18.308759343453886,5.61,1.0
14.0,223.43912507946854,14.143214901331875,4.51,1.0
15.0,574.0636973894863,27.181477750728057,7.930000000000001,1.0
16.0,766.7336375409909,33.67417331921418,7.72,1.0
17.0,146.05924662210037,10.279183044379415,4.14,1.0
18.0,198.00432160718975,12.477180344540592,5.1000000000000005,1.0
19.0,718.1163649837804,28.44580587151584,7.25,0.0
20.0,171.7807924121075,5.3541760325264445,6.5600000000000005,0.0
21.0,352.6861013320174,19.116127180461124,6.68,1.0
22.0,713.2329626623723,32.58708303672907,8.47,1.0
23.0,204.4476623036227,13.106846095899865,4.8,1.0
24.0,786.2585398342904,39.0630504453774,7.45,1.0
25.0,320.66226524316625,17.85333556864412,5.13,1.0
26.0,378.7338949897808,19.579424695502873,6.04,1.0
27.0,183.3701367997585,12.692539073198121,3.7800000000000002,1.0
28.0,864.9399438703197,40.57405305620131,10.71,1.0
29.0,237.64749920298388,13.46455462080683,5.58,1.0
30.0,471.78531334072215,24.552612741095526,5.47,1.0
31.0,185.4143385305463,13.135008826594703,2.95,1.0
32.0,588.3973967860655,27.703357874603263,9.07,1.0
33.0,173.01561957540756,12.034090873871413,3.65,1.0
34.0,325.24972111643825,15.19674546303981,7.32,1.0
35.0,352.3111106657712,16.816138473083484,6.19,1.0
36.0,425.99684999596224,20.60637164747584,7.22,1.0
37.0,543.1352175597503,21.31279650423026,6.03,0.0
38.0,172.76109042661295,11.711149801508313,4.0600000000000005,1.0
39.0,857.2381142305904,34.885486272993745,7.76,0.0
40.0,326.4823999200267,17.454127123903262,3.7600000000000002,1.0
41.0,396.70685888368223,16.42941261658426,8.73,1.0
42.0,442.33834461756254,21.5274927602478,6.86,1.0
43.0,807.7537726730683,39.94772951726904,10.31,1.0
44.0,734.3910249616471,36.325868224046346,8.98,1.0
45.0,451.77547909520536,23.794142317837654,7.25,1.0
46.0,809.9613211454199,36.08376184989553,10.19,1.0
47.0,155.12871855325702,5.423394462680325,2.73,0.0
48.0,581.7917696527829,20.359352447602603,7.32,0.0
49.0,251.62860577998214,14.462701284370448,4.3500000000000005,1.0
50.0,275.0470637314593,15.580624231003894,3.67,1.0
