	M	1	2	3	4	MEAN
10	6,54	4,9	7,52	6,16	6,12	6,248
20	5,65	6,57	7,84	6,22	6,74	6,604
30	7,19	9,1	8,32	8,15	7,85	8,122
40	9,29	9,28	8,77	8,63	9,35	9,064
50	8,49	9,41	9,54	9,22	8,12	8,956
60	9,89	8,41	9,53	9,71	6,23	8,754
70	8,64	11,29	10,17	9,53	10,7	10,066
80	10,6	10,49	12,44	11,21	10,32	11,012
90	9,84	12,1	9,83	10,98	10,06	10,562
100	9,3	6,89	10,17	9,94	12,13	9,686
110	11,04	10,8	13,1	11,12	9,68	11,148
120	10,41	11,6	11,35	8,45	10,26	10,414
130	9,31	12,55	10,76	10,85	10,39	10,772
140	10,41	12,42	11,37	10,88	9,72	10,96
150	13,49	12,51	12,76	6,83	13,76	11,87
160	13,19	9,35	10,98	8,63	10,82	10,594
170	11,93	10,81	12,41	14,81	12,56	12,504
180	10,73	8,45	9,5	13,01	12,05	10,748
190	14,7	10,46	11,52	13,59	11,88	12,43
200	9,83	14,09	14,59	9,65	14,23	12,478
210	11,13	10,62	9,89	12,81	12,54	11,398
220	10,77	10,73	11,01	12,13	12,4	11,408
230	10,13	14,58	11,4	14,29	15,12	13,104
240	11,1	11,32	12,97	9,9	14,88	12,034
250	12,57	12,74	10,5	11,13	13,33	12,054
260	8,07	14,34	14,34	11,31	13,6	12,332
270	11,4	10,12	10,59	10,54	13,55	11,24
280	11,76	12,96	12,36	13,32	14,94	13,068
290	12,84	13,64	14,52	13,67	10,27	12,988
300	14,62	12,92	15,37	11,54	12,8	13,45
310	10,9	16,2	11,07	16,34	9,49	12,8
320	12,81	12,39	13,31	12,81	11,01	12,466
330	11,23	14,07	16,07	10,24	11,63	12,648
340	10,56	12,91	10,88	7,06	15,67	11,416
350	10,3	10,86	15,41	12,01	12,76	12,268
360	12,3	11,73	10,73	12,98	12,16	11,98
370	16,62	14,02	12,84	15,1	16,86	15,088
380	17,41	14,26	13,1	13,25	13,16	14,236
390	14,71	15,44	13,59	12,54	16,56	14,568
400	10,19	17,08	13,34	13,15	15,46	13,844
410	15,35	15,13	10,98	12,2	12,62	13,256
420	13,76	13,65	12,14	13,45	13,2	13,24
430	16,88	14,4	15,28	15,65	13,15	15,072
440	11,62	16,8	14,55	16,78	16,91	15,332
450	7,13	15,69	17,25	13,66	9,94	12,734
